sim_time, unit_box_Custom?world_angular_velocity/y
0.997, 8.25504e-18
0.998, 1.23315e-17
0.999, 1.25e-17
1, 6.27359e-18
1.001, 1.05277e-17
1.002, 1.21173e-17
1.003, 9.79887e-18
1.004, 1.03226e-17
1.005, 1.06687e-17
1.006, 8.70559e-18
1.007, 1.40255e-17
1.008, 8.15439e-18
1.009, 1.15203e-17
1.01, 9.02424e-18
1.011, 6.88348e-18
1.012, 1.11376e-17
1.013, 1.27272e-17
1.014, 6.85603e-18
1.015, 1.23536e-17
1.016, 1.23444e-17
1.017, 9.31549e-18
1.018, 9.83924e-18
1.019, 1.0363e-17
1.02, 9.28804e-18
1.021, 8.03543e-18
1.022, 1.05132e-17
1.023, 1.17475e-17
1.024, 1.13831e-17
1.025, 9.7752e-18
1.026, 9.05551e-18
1.027, 8.33581e-18
1.028, 1.56097e-17
1.029, 1.22255e-17
1.03, 9.72944e-18
1.031, 1.02532e-17
1.032, 9.71113e-18
1.033, 9.52434e-18
1.034, 9.87046e-18
1.035, 1.12824e-17
1.036, 1.00298e-17
1.037, 8.06662e-18
1.038, 1.08996e-17
1.039, 1.00023e-17
1.04, 1.21248e-17
1.041, 1.26485e-17
1.042, 6.06687e-18
1.043, 1.28079e-17
1.044, 1.04895e-17
1.045, 1.08356e-17
1.046, 9.76063e-18
1.047, 1.13502e-17
1.048, 9.38707e-18
1.049, 8.48975e-18
1.05, 1.52308e-17
1.051, 1.04254e-17
1.052, 1.09492e-17
1.053, 9.16367e-18
1.054, 1.12861e-17
1.055, 1.18099e-17
1.056, 1.18007e-17
1.057, 1.00152e-17
1.058, 7.87445e-18
1.059, 1.40825e-17
1.06, 8.74434e-18
1.061, 1.1755e-17
1.062, 8.54838e-18
1.063, 1.08485e-17
1.064, 1.08393e-17
1.065, 8.52093e-18
1.066, 1.06434e-17
1.067, 1.0279e-17
1.068, 1.25791e-17
1.069, 9.55014e-18
1.07, 1.23832e-17
