sim_time, unit_box_Custom?world_pose/position/x
2.27, -9.80001e-14
2.271, -9.80001e-14
2.272, -9.80001e-14
2.273, -9.80001e-14
2.274, -9.80001e-14
2.275, -9.80001e-14
2.276, -9.80001e-14
2.277, -9.80001e-14
2.278, -9.80001e-14
2.279, -9.80001e-14
2.28, -9.80001e-14
2.281, -9.80001e-14
2.282, -9.80001e-14
2.283, -9.80001e-14
2.284, -9.80001e-14
2.285, -9.80001e-14
2.286, -9.80001e-14
2.287, -9.80001e-14
2.288, -9.80001e-14
2.289, -9.80001e-14
2.29, -9.80001e-14
2.291, -9.80001e-14
2.292, -9.80001e-14
2.293, -9.80001e-14
2.294, -9.80001e-14
2.295, -9.80001e-14
2.296, -9.80001e-14
2.297, -9.80001e-14
2.298, -9.80001e-14
2.299, -9.80001e-14
2.3, -9.80001e-14
2.301, -9.80001e-14
2.302, -9.80001e-14
2.303, -9.80001e-14
2.304, -9.80001e-14
2.305, -9.80001e-14
2.306, -9.80001e-14
2.307, -9.80001e-14
2.308, -9.80001e-14
2.309, -9.80001e-14
2.31, -9.80001e-14
2.311, -9.80001e-14
2.312, -9.80001e-14
2.313, -9.80001e-14
2.314, -9.80001e-14
2.315, -9.80001e-14
2.316, -9.80001e-14
2.317, -9.80001e-14
2.318, -9.80001e-14
2.319, -9.80001e-14
2.32, -9.80001e-14
2.321, -9.80001e-14
2.322, -9.80001e-14
2.323, -9.80001e-14
2.324, -9.80001e-14
2.325, -9.80001e-14
2.326, -9.80001e-14
2.327, -9.80001e-14
2.328, -9.80001e-14
2.329, -9.80001e-14
2.33, -9.80001e-14
2.331, -9.80001e-14
2.332, -9.80001e-14
2.333, -9.80001e-14
2.334, -9.80001e-14
2.335, -9.80001e-14
2.336, -9.80001e-14
2.337, -9.80001e-14
2.338, -9.80001e-14
2.339, -9.80001e-14
2.34, -9.80001e-14
2.341, -9.80001e-14
2.342, -9.80001e-14
2.343, -9.80001e-14
2.344, -9.80001e-14
2.345, -9.80001e-14
2.346, -9.80001e-14
2.347, -9.80001e-14
2.348, -9.80001e-14
2.349, -9.80001e-14
2.35, -9.80001e-14
2.351, -9.80001e-14
2.352, -9.80001e-14
2.353, -9.80001e-14
2.354, -9.80001e-14
2.355, -9.80001e-14
2.356, -9.80001e-14
2.357, -9.80001e-14
2.358, -9.80001e-14
2.359, -9.80001e-14
2.36, -9.80001e-14
2.361, -9.80001e-14
2.362, -9.80001e-14
2.363, -9.80001e-14
2.364, -9.80001e-14
2.365, -9.80001e-14
2.366, -9.80001e-14
2.367, -9.80001e-14
2.368, -9.80001e-14
2.369, -9.80001e-14
2.37, -9.80001e-14
2.371, -9.80001e-14
2.372, -9.80001e-14
2.373, -9.80001e-14
2.374, -9.80001e-14
2.375, -9.80001e-14
2.376, -9.80001e-14
2.377, -9.80001e-14
2.378, -9.80001e-14
2.379, -9.80001e-14
2.38, -9.80001e-14
2.381, -9.80001e-14
2.382, -9.80001e-14
2.383, -9.80001e-14
2.384, -9.80001e-14
2.385, -9.80001e-14
2.386, -9.80001e-14
2.387, -9.80001e-14
2.388, -9.80001e-14
2.389, -9.80001e-14
2.39, -9.80001e-14
2.391, -9.80001e-14
2.392, -9.80001e-14
2.393, -9.80001e-14
2.394, -9.80001e-14
2.395, -9.80001e-14
2.396, -9.80001e-14
2.397, -9.80001e-14
2.398, -9.80001e-14
2.399, -9.80001e-14
2.4, -9.80001e-14
2.401, -9.80001e-14
2.402, -9.80001e-14
2.403, -9.80001e-14
2.404, -9.80001e-14
2.405, -9.80001e-14
2.406, -9.80001e-14
2.407, -9.80001e-14
2.408, -9.80001e-14
2.409, -9.80001e-14
2.41, -9.80001e-14
2.411, -9.80001e-14
2.412, -9.80001e-14
2.413, -9.80001e-14
2.414, -9.80001e-14
2.415, -9.80001e-14
2.416, -9.80001e-14
2.417, -9.80001e-14
2.418, -9.80001e-14
2.419, -9.80001e-14
2.42, -9.80001e-14
2.421, -9.80001e-14
2.422, -9.80001e-14
2.423, -9.80001e-14
2.424, -9.80001e-14
2.425, -9.80001e-14
2.426, -9.80001e-14
2.427, -9.80001e-14
2.428, -9.80001e-14
2.429, -9.80001e-14
2.43, -9.80001e-14
2.431, -9.80001e-14
2.432, -9.80001e-14
2.433, -9.80001e-14
2.434, -9.80001e-14
2.435, -9.80001e-14
2.436, -9.80001e-14
2.437, -9.80001e-14
2.438, -9.80001e-14
2.439, -9.80001e-14
2.44, -9.80001e-14
2.441, -9.80001e-14
2.442, -9.80001e-14
2.443, -9.80001e-14
2.444, -9.80001e-14
2.445, -9.80001e-14
2.446, -9.80001e-14
2.447, -9.80001e-14
2.448, -9.80001e-14
2.449, -9.80001e-14
2.45, -9.80001e-14
2.451, -9.80001e-14
2.452, -9.80001e-14
2.453, -9.80001e-14
2.454, -9.80001e-14
2.455, -9.80001e-14
2.456, -9.80001e-14
2.457, -9.80001e-14
2.458, -9.80001e-14
2.459, -9.80001e-14
2.46, -9.80001e-14
2.461, -9.80001e-14
2.462, -9.80001e-14
2.463, -9.80001e-14
2.464, -9.80001e-14
2.465, -9.80001e-14
2.466, -9.80001e-14
2.467, -9.80001e-14
2.468, -9.80001e-14
2.469, -9.80001e-14
2.47, -9.80001e-14
2.471, -9.80001e-14
2.472, -9.80001e-14
2.473, -9.80001e-14
2.474, -9.80001e-14
2.475, -9.80001e-14
2.476, -9.80001e-14
2.477, -9.80001e-14
2.478, -9.80001e-14
2.479, -9.80001e-14
2.48, -9.80001e-14
2.481, -9.80001e-14
2.482, -9.80001e-14
2.483, -9.80001e-14
2.484, -9.80001e-14
2.485, -9.80001e-14
2.486, -9.80001e-14
2.487, -9.80001e-14
2.488, -9.80001e-14
2.489, -9.80001e-14
2.49, -9.80001e-14
2.491, -9.80001e-14
2.492, -9.80001e-14
2.493, -9.80001e-14
2.494, -9.80001e-14
2.495, -9.80001e-14
2.496, -9.80001e-14
2.497, -9.80001e-14
2.498, -9.80001e-14
2.499, -9.80001e-14
2.5, -9.80001e-14
2.501, -9.80001e-14
2.502, -9.80001e-14
2.503, -9.80001e-14
2.504, -9.80001e-14
2.505, -9.80001e-14
2.506, -9.80001e-14
2.507, -9.80001e-14
2.508, -9.80001e-14
2.509, -9.80001e-14
