sim_time, unit_box_Custom?world_pose/orientation/yaw
0.607, 2.61989e-19
0.608, 2.62422e-19
0.609, 2.62855e-19
0.61, 2.63288e-19
0.611, 2.6372e-19
0.612, 2.64153e-19
0.613, 2.64586e-19
0.614, 2.65019e-19
0.615, 2.65452e-19
0.616, 2.65884e-19
0.617, 2.66317e-19
0.618, 2.6675e-19
0.619, 2.67183e-19
0.62, 2.67616e-19
0.621, 2.68049e-19
0.622, 2.68481e-19
0.623, 2.68914e-19
0.624, 2.69347e-19
0.625, 2.6978e-19
0.626, 2.70213e-19
0.627, 2.70646e-19
0.628, 2.71078e-19
0.629, 2.71511e-19
0.63, 2.71944e-19
0.631, 2.72377e-19
0.632, 2.7281e-19
0.633, 2.73243e-19
0.634, 2.73676e-19
0.635, 2.74109e-19
0.636, 2.74542e-19
0.637, 2.74975e-19
0.638, 2.75408e-19
0.639, 2.75841e-19
0.64, 2.76274e-19
0.641, 2.76707e-19
0.642, 2.7714e-19
0.643, 2.77572e-19
0.644, 2.78005e-19
0.645, 2.78438e-19
0.646, 2.78871e-19
0.647, 2.79303e-19
0.648, 2.79736e-19
0.649, 2.80169e-19
0.65, 2.80602e-19
0.651, 2.81035e-19
0.652, 2.81468e-19
0.653, 2.819e-19
0.654, 2.82333e-19
0.655, 2.82767e-19
0.656, 2.83199e-19
0.657, 2.83632e-19
0.658, 2.84065e-19
0.659, 2.84498e-19
0.66, 2.84931e-19
0.661, 2.85364e-19
0.662, 2.85797e-19
0.663, 2.86229e-19
0.664, 2.86662e-19
0.665, 2.87095e-19
0.666, 2.87528e-19
0.667, 2.87961e-19
0.668, 2.88394e-19
0.669, 2.88827e-19
0.67, 2.8926e-19
0.671, 2.89693e-19
0.672, 2.90126e-19
0.673, 2.90558e-19
0.674, 2.90991e-19
0.675, 2.91424e-19
0.676, 2.91857e-19
0.677, 2.9229e-19
0.678, 2.92723e-19
0.679, 2.93155e-19
0.68, 2.93588e-19
0.681, 2.94021e-19
0.682, 2.94454e-19
0.683, 2.94887e-19
0.684, 2.95319e-19
0.685, 2.95752e-19
0.686, 2.96185e-19
0.687, 2.96618e-19
0.688, 2.9705e-19
0.689, 2.97483e-19
0.69, 2.97916e-19
0.691, 2.98349e-19
0.692, 2.98782e-19
0.693, 2.99215e-19
0.694, 2.99648e-19
0.695, 3.00081e-19
0.696, 3.00514e-19
0.697, 3.00946e-19
0.698, 3.01379e-19
0.699, 3.01812e-19
0.7, 3.02245e-19
0.701, 3.02678e-19
0.702, 3.03111e-19
0.703, 3.03544e-19
0.704, 3.03976e-19
0.705, 3.04409e-19
0.706, 3.04842e-19
0.707, 3.05275e-19
0.708, 3.05708e-19
0.709, 3.06141e-19
0.71, 3.06573e-19
0.711, 3.07007e-19
0.712, 3.07439e-19
0.713, 3.07872e-19
0.714, 3.08305e-19
0.715, 3.08738e-19
0.716, 3.09171e-19
0.717, 3.09604e-19
0.718, 3.10036e-19
0.719, 3.10469e-19
0.72, 3.10903e-19
0.721, 3.11335e-19
0.722, 3.11768e-19
0.723, 3.12201e-19
0.724, 3.12634e-19
0.725, 3.13066e-19
0.726, 3.13499e-19
0.727, 3.13932e-19
0.728, 3.14365e-19
0.729, 3.14798e-19
0.73, 3.15231e-19
0.731, 3.15664e-19
0.732, 3.16097e-19
0.733, 3.1653e-19
0.734, 3.16963e-19
0.735, 3.17396e-19
0.736, 3.17828e-19
0.737, 3.18261e-19
0.738, 3.18694e-19
0.739, 3.19127e-19
0.74, 3.1956e-19
0.741, 3.19993e-19
0.742, 3.20425e-19
0.743, 3.20858e-19
0.744, 3.21291e-19
0.745, 3.21724e-19
0.746, 3.22156e-19
0.747, 3.22589e-19
0.748, 3.23022e-19
0.749, 3.23455e-19
0.75, 3.23888e-19
0.751, 3.24321e-19
0.752, 3.24753e-19
0.753, 3.25186e-19
0.754, 3.25619e-19
0.755, 3.26052e-19
0.756, 3.26484e-19
0.757, 3.26917e-19
0.758, 3.2735e-19
0.759, 3.27783e-19
0.76, 3.28216e-19
0.761, 3.28649e-19
0.762, 3.29082e-19
0.763, 3.29514e-19
0.764, 3.29947e-19
0.765, 3.3038e-19
0.766, 3.30813e-19
0.767, 3.31246e-19
0.768, 3.31679e-19
0.769, 3.32111e-19
0.77, 3.32544e-19
0.771, 3.32977e-19
0.772, 3.3341e-19
0.773, 3.33843e-19
0.774, 3.34276e-19
0.775, 3.34708e-19
0.776, 3.35141e-19
0.777, 3.35574e-19
0.778, 3.36006e-19
0.779, 3.36439e-19
0.78, 3.36872e-19
0.781, 3.37305e-19
0.782, 3.37738e-19
0.783, 3.38171e-19
0.784, 3.38604e-19
0.785, 3.39037e-19
0.786, 3.3947e-19
0.787, 3.39903e-19
0.788, 3.40336e-19
0.789, 3.40769e-19
0.79, 3.41202e-19
0.791, 3.41634e-19
0.792, 3.42067e-19
0.793, 3.425e-19
0.794, 3.42932e-19
0.795, 3.43366e-19
0.796, 3.43798e-19
0.797, 3.44231e-19
0.798, 3.44664e-19
0.799, 3.45097e-19
0.8, 3.4553e-19
0.801, 3.45963e-19
0.802, 3.46395e-19
0.803, 3.46828e-19
0.804, 3.4726e-19
0.805, 3.47693e-19
0.806, 3.48126e-19
