sim_time, unit_box_Custom?world_angular_acceleration/z
0.612, -3.90729e-19
0.613, 3.36403e-19
0.614, 1.40361e-19
0.615, -9.73764e-20
0.616, -6.67677e-20
0.617, 1.91711e-19
0.618, -2.68229e-19
0.619, 1.98529e-19
0.62, 1.83531e-19
0.621, 7.93544e-20
0.622, -5.65471e-19
0.623, 5.25262e-19
0.624, -3.4011e-19
0.625, -1.31806e-19
0.626, 9.4149e-20
0.627, 1.2795e-19
0.628, 4.13062e-19
0.629, -4.07185e-19
0.63, -2.75115e-19
0.631, 4.07839e-19
0.632, -8.99805e-20
0.633, 1.43383e-19
0.634, -8.49224e-20
0.635, -3.35782e-20
0.636, -2.19188e-19
0.637, 2.75709e-19
0.638, -4.6721e-19
0.639, 1.02773e-20
0.64, 3.09684e-19
0.641, 2.42161e-19
0.642, -3.37386e-19
0.643, -3.2836e-19
0.644, 2.18237e-19
0.645, -2.73319e-20
0.646, -1.06508e-19
0.647, 5.23509e-19
0.648, -8.78941e-20
0.649, -2.59697e-19
0.65, 4.60784e-20
0.651, -1.26299e-19
0.652, 1.26259e-19
0.653, -1.04127e-20
0.654, -9.0597e-20
0.655, 2.10121e-19
0.656, 2.05169e-20
0.657, 2.05424e-19
0.658, -4.20708e-19
0.659, 5.79904e-19
0.66, -5.03821e-19
0.661, 1.47385e-19
0.662, -1.17199e-19
0.663, -9.22592e-20
0.664, 1.90557e-19
0.665, -2.83239e-19
0.666, 3.38843e-19
0.667, -2.95958e-19
0.668, 1.89517e-19
0.669, -7.9233e-20
0.67, 1.99184e-19
0.671, -5.95643e-20
0.672, 1.36163e-20
0.673, 1.58329e-19
0.674, -1.80069e-19
0.675, -5.62227e-20
0.676, 2.5477e-19
0.677, -4.73436e-19
0.678, -6.74057e-20
0.679, 2.76092e-19
0.68, -2.36433e-19
0.681, 4.19734e-20
0.682, 3.33037e-19
0.683, -6.78868e-19
0.684, 7.09633e-19
0.685, -2.24149e-19
0.686, 6.49755e-20
0.687, 1.6678e-19
0.688, -7.6063e-21
0.689, -6.2715e-20
0.69, -1.32081e-19
0.691, -2.58386e-20
0.692, 6.69777e-20
0.693, 1.67569e-19
0.694, -2.74623e-19
0.695, 4.32085e-19
0.696, -5.09385e-19
0.697, 4.48688e-19
0.698, 2.9432e-20
0.699, -1.8626e-19
0.7, -2.03114e-19
0.701, 3.58595e-19
0.702, -4.35398e-19
0.703, 8.82885e-20
0.704, 8.51026e-20
0.705, -1.75276e-19
0.706, -8.82765e-20
0.707, 7.26836e-19
0.708, -4.16857e-19
0.709, -1.28389e-19
0.71, 7.63495e-21
0.711, 8.50251e-20
0.712, 6.2798e-20
