sim_time, unit_box_Custom?world_angular_acceleration/y
0.625, -1.7855e-15
0.626, 4.25411e-15
0.627, -6.58168e-15
0.628, 5.31994e-15
0.629, 1.23429e-15
0.63, -5.33823e-15
0.631, 3.72123e-15
0.632, -9.16119e-18
0.633, -2.14077e-15
0.634, -3.20661e-15
0.635, 6.56337e-15
0.636, -3.2066e-15
0.637, 2.6554e-15
0.638, 1.68467e-16
0.639, -3.56185e-15
0.64, 3.46138e-16
0.641, 4.43176e-15
0.642, -8.18039e-15
0.643, 6.741e-15
0.644, -1.96314e-15
0.645, -7.19685e-16
0.646, -7.19695e-16
0.647, 4.0765e-15
0.648, -4.27242e-15
0.649, 4.60936e-15
0.65, -6.22639e-15
0.651, 3.36593e-15
0.652, -1.86801e-16
0.653, 1.58958e-15
0.654, -1.25259e-15
0.655, -2.3184e-15
0.656, 3.36592e-15
0.657, -5.42051e-16
0.658, 7.01365e-16
0.659, 1.5896e-15
0.66, -7.29223e-15
0.661, 3.54357e-15
0.662, 5.23763e-16
0.663, 2.65539e-15
0.664, 5.23764e-16
0.665, -6.04877e-15
0.666, 3.54356e-15
0.667, 5.23757e-16
0.668, -5.42065e-16
0.669, -1.60786e-15
0.67, 2.65539e-15
0.671, 1.41192e-15
0.672, -7.64747e-15
0.673, 8.33972e-15
0.674, -4.80532e-15
0.675, 3.36593e-15
0.676, 1.68482e-16
0.677, -3.91714e-15
0.678, -7.19698e-16
0.679, -9.12863e-18
0.68, 5.49756e-15
0.681, -6.58167e-15
0.682, 5.49755e-15
0.683, -1.43026e-15
0.684, 1.68511e-16
0.685, -1.86798e-16
0.686, 5.23759e-16
0.687, -1.07496e-15
0.688, 1.68483e-16
0.689, 5.23759e-16
0.69, -9.1517e-18
0.691, 5.2375e-16
0.692, -8.97324e-16
0.693, -1.2526e-15
0.694, 8.79015e-16
0.695, 1.5896e-15
0.696, 1.68474e-16
0.697, -2.49604e-15
0.698, 5.23764e-16
0.699, -1.86797e-16
0.7, 2.12246e-15
0.701, 7.01415e-16
0.702, -3.64435e-16
0.703, -2.85131e-15
0.704, -1.7855e-15
0.705, 3.54356e-15
0.706, 1.68479e-16
0.707, -9.12382e-18
0.708, 3.46111e-16
0.709, -1.60786e-15
0.71, -7.19682e-16
0.711, 1.41192e-15
0.712, 5.2376e-16
0.713, -1.78551e-15
0.714, 1.76722e-15
0.715, 1.7672e-15
0.716, -3.20658e-15
0.717, 2.83302e-15
0.718, 1.23431e-15
0.719, -7.11459e-15
0.72, 5.49756e-15
0.721, -1.78549e-15
0.722, -1.07497e-15
0.723, -1.96314e-15
0.724, 6.56336e-15
0.725, -5.69348e-15
0.726, 6.03045e-15
