sim_time, unit_box_Custom?world_angular_velocity/x
0.652, 1.69274e-17
0.653, 1.26418e-17
0.654, 8.1286e-18
0.655, 1.51398e-17
0.656, 1.15146e-17
0.657, 1.07817e-17
0.658, 1.24638e-17
0.659, 9.70513e-18
0.66, 1.22755e-17
0.661, 1.3763e-17
0.662, 5.92474e-18
0.663, 1.56225e-17
0.664, 1.37519e-17
0.665, 1.14373e-17
0.666, 9.56671e-18
0.667, 1.39353e-17
0.668, 1.11984e-17
0.669, 9.77195e-18
0.67, 1.2364e-17
0.671, 1.45122e-17
0.672, 1.04211e-17
0.673, 7.68408e-18
0.674, 9.38814e-18
0.675, 1.06262e-17
0.676, 9.19978e-18
0.677, 9.99373e-18
0.678, 1.39181e-17
0.679, 1.18529e-17
0.68, 1.73372e-17
0.681, 1.54667e-17
0.682, 1.3152e-17
0.683, 1.57224e-17
0.684, 1.67658e-17
0.685, 1.13645e-17
0.686, 1.30466e-17
0.687, 1.1642e-17
0.688, 1.26855e-17
0.689, 1.1259e-17
0.69, 1.36347e-17
0.691, 1.08977e-17
0.692, 1.03594e-17
0.693, 1.38179e-17
0.694, 9.2828e-18
0.695, 1.2763e-17
0.696, 1.09143e-17
0.697, 1.86191e-17
0.698, 8.75496e-18
0.699, 1.22135e-17
0.7, 1.34516e-17
0.701, 1.40509e-17
0.702, 1.28739e-17
0.703, 1.4112e-17
0.704, 7.60593e-18
0.705, 9.09348e-18
0.706, 8.55519e-18
0.707, 1.53718e-17
0.708, 1.15303e-17
0.709, 1.01038e-17
0.71, 1.17859e-17
0.711, 1.65767e-17
0.712, 1.05147e-17
0.713, 8.22181e-18
0.714, 1.39226e-17
0.715, 8.05526e-18
0.716, 1.72869e-17
0.717, 1.364e-17
0.718, 1.26795e-17
0.719, 1.15025e-17
0.72, 1.4961e-17
0.721, 1.37841e-17
0.722, 1.23795e-17
0.723, 1.45058e-17
0.724, 1.26571e-17
0.725, 7.92741e-18
0.726, 1.31623e-17
0.727, 1.04035e-17
0.728, 1.34179e-17
0.729, 1.2685e-17
0.73, 1.37285e-17
