sim_time, unit_box_Custom?world_angular_acceleration/z
1.284, 1.93909e-05
1.285, -6.1939e-05
1.286, -1.8038e-05
1.287, 6.05861e-05
1.288, 1.93909e-05
1.289, -6.1939e-05
1.29, -1.8038e-05
1.291, 6.05861e-05
1.292, 1.93909e-05
1.293, -6.1939e-05
1.294, -1.8038e-05
1.295, 6.05861e-05
1.296, 1.93909e-05
1.297, -6.1939e-05
1.298, -1.8038e-05
1.299, 6.05861e-05
1.3, 1.93909e-05
1.301, -6.1939e-05
1.302, -1.8038e-05
1.303, 6.05861e-05
1.304, 1.93909e-05
1.305, -6.1939e-05
1.306, -1.8038e-05
1.307, 6.05861e-05
1.308, 1.93909e-05
1.309, -6.1939e-05
1.31, -1.8038e-05
1.311, 6.05861e-05
1.312, 1.93909e-05
1.313, -6.1939e-05
1.314, -1.8038e-05
1.315, 6.05861e-05
1.316, 1.93909e-05
1.317, -6.1939e-05
1.318, -1.8038e-05
1.319, 6.05861e-05
1.32, 1.93909e-05
1.321, -6.1939e-05
1.322, -1.8038e-05
