sim_time, unit_box_Custom?world_pose/orientation/pitch
0.504, -6.4192e-06
0.505, -9.22999e-07
0.506, 6.42823e-06
0.507, 9.29424e-07
0.508, -6.41912e-06
0.509, -9.22938e-07
0.51, 6.42832e-06
0.511, 9.29488e-07
0.512, -6.41903e-06
0.513, -9.22876e-07
0.514, 6.42841e-06
0.515, 9.29553e-07
0.516, -6.41894e-06
0.517, -9.22813e-07
0.518, 6.4285e-06
0.519, 9.29619e-07
0.52, -6.41884e-06
0.521, -9.22749e-07
0.522, 6.42859e-06
0.523, 9.29687e-07
0.524, -6.41875e-06
0.525, -9.22683e-07
0.526, 6.42868e-06
0.527, 9.29755e-07
0.528, -6.41865e-06
0.529, -9.22617e-07
0.53, 6.42878e-06
0.531, 9.29825e-07
0.532, -6.41855e-06
0.533, -9.22549e-07
0.534, 6.42888e-06
0.535, 9.29897e-07
0.536, -6.41845e-06
0.537, -9.22479e-07
0.538, 6.42898e-06
0.539, 9.2997e-07
0.54, -6.41835e-06
0.541, -9.22409e-07
0.542, 6.42908e-06
0.543, 9.30044e-07
0.544, -6.41825e-06
0.545, -9.22337e-07
0.546, 6.42918e-06
0.547, 9.30119e-07
0.548, -6.41814e-06
0.549, -9.22264e-07
0.55, 6.42928e-06
0.551, 9.30196e-07
0.552, -6.41803e-06
0.553, -9.22189e-07
0.554, 6.42939e-06
0.555, 9.30275e-07
0.556, -6.41792e-06
0.557, -9.22113e-07
0.558, 6.4295e-06
0.559, 9.30355e-07
0.56, -6.41781e-06
0.561, -9.22036e-07
0.562, 6.42961e-06
0.563, 9.30436e-07
0.564, -6.4177e-06
0.565, -9.21957e-07
0.566, 6.42972e-06
0.567, 9.3052e-07
0.568, -6.41758e-06
0.569, -9.21877e-07
0.57, 6.42984e-06
0.571, 9.30604e-07
0.572, -6.41746e-06
0.573, -9.21795e-07
0.574, 6.42996e-06
0.575, 9.30691e-07
0.576, -6.41734e-06
0.577, -9.21711e-07
0.578, 6.43008e-06
0.579, 9.30779e-07
0.58, -6.41722e-06
0.581, -9.21627e-07
0.582, 6.4302e-06
0.583, 9.30868e-07
0.584, -6.41709e-06
0.585, -9.2154e-07
0.586, 6.43032e-06
0.587, 9.3096e-07
0.588, -6.41696e-06
0.589, -9.21452e-07
0.59, 6.43045e-06
0.591, 9.31053e-07
0.592, -6.41683e-06
0.593, -9.21362e-07
0.594, 6.43058e-06
0.595, 9.31148e-07
0.596, -6.4167e-06
0.597, -9.2127e-07
0.598, 6.43071e-06
0.599, 9.31245e-07
0.6, -6.41656e-06
0.601, -9.21177e-07
0.602, 6.43084e-06
0.603, 9.31344e-07
0.604, -6.41642e-06
0.605, -9.21082e-07
0.606, 6.43098e-06
0.607, 9.31445e-07
0.608, -6.41628e-06
0.609, -9.20985e-07
0.61, 6.43112e-06
0.611, 9.31547e-07
0.612, -6.41614e-06
0.613, -9.20886e-07
0.614, 6.43126e-06
0.615, 9.31652e-07
0.616, -6.41599e-06
0.617, -9.20786e-07
0.618, 6.43141e-06
0.619, 9.31759e-07
0.62, -6.41584e-06
0.621, -9.20683e-07
0.622, 6.43155e-06
0.623, 9.31868e-07
0.624, -6.41569e-06
0.625, -9.20579e-07
0.626, 6.4317e-06
0.627, 9.31979e-07
0.628, -6.41553e-06
0.629, -9.20473e-07
0.63, 6.43186e-06
0.631, 9.32092e-07
0.632, -6.41538e-06
0.633, -9.20364e-07
0.634, 6.43201e-06
0.635, 9.32207e-07
0.636, -6.41521e-06
0.637, -9.20254e-07
0.638, 6.43217e-06
0.639, 9.32325e-07
0.64, -6.41505e-06
0.641, -9.20141e-07
0.642, 6.43233e-06
0.643, 9.32445e-07
0.644, -6.41488e-06
0.645, -9.20026e-07
0.646, 6.4325e-06
0.647, 9.32567e-07
0.648, -6.41471e-06
0.649, -9.19909e-07
0.65, 6.43267e-06
0.651, 9.32692e-07
0.652, -6.41454e-06
0.653, -9.1979e-07
0.654, 6.43284e-06
0.655, 9.32819e-07
0.656, -6.41436e-06
0.657, -9.19669e-07
0.658, 6.43301e-06
0.659, 9.32949e-07
0.66, -6.41418e-06
0.661, -9.19545e-07
0.662, 6.43319e-06
0.663, 9.33081e-07
0.664, -6.41399e-06
0.665, -9.19419e-07
0.666, 6.43337e-06
0.667, 9.33216e-07
0.668, -6.4138e-06
0.669, -9.1929e-07
0.67, 6.43356e-06
0.671, 9.33353e-07
0.672, -6.41361e-06
0.673, -9.19159e-07
0.674, 6.43375e-06
0.675, 9.33494e-07
0.676, -6.41341e-06
0.677, -9.19025e-07
0.678, 6.43394e-06
0.679, 9.33637e-07
0.68, -6.41321e-06
0.681, -9.18889e-07
0.682, 6.43414e-06
0.683, 9.33783e-07
0.684, -6.41301e-06
0.685, -9.1875e-07
0.686, 6.43434e-06
0.687, 9.33932e-07
0.688, -6.4128e-06
0.689, -9.18609e-07
0.69, 6.43454e-06
0.691, 9.34083e-07
0.692, -6.41259e-06
0.693, -9.18464e-07
0.694, 6.43475e-06
0.695, 9.34238e-07
0.696, -6.41237e-06
0.697, -9.18317e-07
0.698, 6.43496e-06
0.699, 9.34396e-07
0.7, -6.41215e-06
0.701, -9.18168e-07
0.702, 6.43518e-06
0.703, 9.34557e-07
0.704, -6.41193e-06
0.705, -9.18015e-07
0.706, 6.4354e-06
0.707, 9.34722e-07
0.708, -6.4117e-06
0.709, -9.17859e-07
0.71, 6.43562e-06
0.711, 9.34889e-07
0.712, -6.41146e-06
0.713, -9.177e-07
0.714, 6.43585e-06
0.715, 9.3506e-07
0.716, -6.41122e-06
0.717, -9.17538e-07
0.718, 6.43608e-06
0.719, 9.35235e-07
0.72, -6.41098e-06
0.721, -9.17373e-07
0.722, 6.43632e-06
0.723, 9.35413e-07
0.724, -6.41073e-06
0.725, -9.17205e-07
0.726, 6.43657e-06
0.727, 9.35595e-07
0.728, -6.41048e-06
0.729, -9.17033e-07
0.73, 6.43681e-06
0.731, 9.3578e-07
0.732, -6.41022e-06
0.733, -9.16858e-07
0.734, 6.43707e-06
0.735, 9.35969e-07
0.736, -6.40995e-06
0.737, -9.1668e-07
0.738, 6.43732e-06
0.739, 9.36162e-07
0.74, -6.40969e-06
0.741, -9.16498e-07
0.742, 6.43759e-06
0.743, 9.36359e-07
0.744, -6.40941e-06
0.745, -9.16313e-07
0.746, 6.43785e-06
0.747, 9.3656e-07
0.748, -6.40913e-06
0.749, -9.16124e-07
0.75, 6.43813e-06
0.751, 9.36765e-07
0.752, -6.40884e-06
0.753, -9.15931e-07
0.754, 6.4384e-06
0.755, 9.36974e-07
0.756, -6.40855e-06
0.757, -9.15734e-07
0.758, 6.43869e-06
0.759, 9.37187e-07
0.76, -6.40825e-06
0.761, -9.15533e-07
0.762, 6.43898e-06
0.763, 9.37405e-07
0.764, -6.40795e-06
0.765, -9.15329e-07
0.766, 6.43927e-06
0.767, 9.37628e-07
0.768, -6.40764e-06
0.769, -9.1512e-07
0.77, 6.43958e-06
0.771, 9.37855e-07
0.772, -6.40732e-06
0.773, -9.14907e-07
0.774, 6.43988e-06
0.775, 9.38086e-07
0.776, -6.407e-06
0.777, -9.1469e-07
0.778, 6.4402e-06
0.779, 9.38323e-07
0.78, -6.40667e-06
0.781, -9.14469e-07
0.782, 6.44052e-06
0.783, 9.38564e-07
0.784, -6.40633e-06
0.785, -9.14243e-07
0.786, 6.44084e-06
0.787, 9.38811e-07
0.788, -6.40599e-06
0.789, -9.14012e-07
0.79, 6.44118e-06
0.791, 9.39062e-07
0.792, -6.40563e-06
0.793, -9.13777e-07
0.794, 6.44151e-06
0.795, 9.39319e-07
0.796, -6.40527e-06
0.797, -9.13537e-07
0.798, 6.44186e-06
0.799, 9.39581e-07
0.8, -6.40491e-06
0.801, -9.13293e-07
0.802, 6.44221e-06
0.803, 9.39849e-07
0.804, -6.40453e-06
0.805, -9.13043e-07
0.806, 6.44258e-06
0.807, 9.40122e-07
0.808, -6.40415e-06
0.809, -9.12788e-07
0.81, 6.44294e-06
0.811, 9.40402e-07
0.812, -6.40376e-06
0.813, -9.12528e-07
0.814, 6.44332e-06
0.815, 9.40687e-07
0.816, -6.40336e-06
0.817, -9.12263e-07
0.818, 6.4437e-06
0.819, 9.40978e-07
0.82, -6.40296e-06
0.821, -9.11992e-07
0.822, 6.44409e-06
0.823, 9.41275e-07
0.824, -6.40254e-06
0.825, -9.11715e-07
0.826, 6.44449e-06
0.827, 9.41579e-07
0.828, -6.40211e-06
0.829, -9.11433e-07
0.83, 6.4449e-06
0.831, 9.41889e-07
0.832, -6.40168e-06
0.833, -9.11145e-07
0.834, 6.44531e-06
0.835, 9.42206e-07
0.836, -6.40124e-06
0.837, -9.10851e-07
0.838, 6.44574e-06
0.839, 9.4253e-07
0.84, -6.40078e-06
0.841, -9.10551e-07
0.842, 6.44617e-06
0.843, 9.42861e-07
0.844, -6.40032e-06
0.845, -9.10245e-07
0.846, 6.44661e-06
0.847, 9.43199e-07
0.848, -6.39985e-06
0.849, -9.09932e-07
0.85, 6.44706e-06
0.851, 9.43545e-07
0.852, -6.39936e-06
0.853, -9.09612e-07
0.854, 6.44753e-06
0.855, 9.43898e-07
0.856, -6.39887e-06
0.857, -9.09286e-07
0.858, 6.448e-06
0.859, 9.44258e-07
0.86, -6.39836e-06
0.861, -9.08953e-07
0.862, 6.44848e-06
0.863, 9.39682e-07
0.864, -6.39768e-06
0.865, -9.01176e-07
0.866, 6.46392e-06
0.867, 9.50349e-07
0.868, -6.38335e-06
0.869, -8.93035e-07
0.87, 6.47389e-06
0.871, 9.55873e-07
0.872, -6.37682e-06
0.873, -8.84054e-07
0.874, 6.47773e-06
0.875, 9.49669e-07
0.876, -6.39096e-06
0.877, -8.94018e-07
0.878, 6.46424e-06
0.879, 9.41996e-07
0.88, -6.40015e-06
0.881, -8.98817e-07
0.882, 6.45883e-06
0.883, 9.39327e-07
0.884, -6.40301e-06
0.885, -9.00134e-07
0.886, 6.4575e-06
0.887, 9.38791e-07
0.888, -6.40346e-06
0.889, -9.0023e-07
0.89, 6.45753e-06
0.891, 9.38928e-07
0.892, -6.40318e-06
0.893, -8.99965e-07
0.894, 6.45794e-06
0.895, 9.39256e-07
0.896, -6.40269e-06
0.897, -8.99597e-07
0.898, 6.45847e-06
0.899, 9.39641e-07
0.9, -6.40214e-06
0.901, -8.99197e-07
0.902, 6.45903e-06
0.903, 9.40046e-07
0.904, -6.40156e-06
0.905, -8.98781e-07
0.906, 6.45961e-06
0.907, 9.40462e-07
0.908, -6.40097e-06
0.909, -8.98355e-07
0.91, 6.4602e-06
0.911, 9.40889e-07
0.912, -6.40036e-06
0.913, -8.97919e-07
0.914, 6.46081e-06
0.915, 9.41326e-07
0.916, -6.39974e-06
0.917, -8.97472e-07
0.918, 6.46143e-06
0.919, 9.41772e-07
0.92, -6.3991e-06
0.921, -8.97015e-07
0.922, 6.46207e-06
0.923, 9.42229e-07
0.924, -6.39845e-06
0.925, -8.96547e-07
0.926, 6.46272e-06
0.927, 9.42696e-07
0.928, -6.39778e-06
0.929, -8.96068e-07
0.93, 6.46338e-06
0.931, 9.43174e-07
0.932, -6.39709e-06
0.933, -8.95578e-07
0.934, 6.46406e-06
0.935, 9.43663e-07
0.936, -6.39639e-06
0.937, -8.95076e-07
0.938, 6.46475e-06
0.939, 9.44163e-07
0.94, -6.39567e-06
0.941, -8.94562e-07
0.942, 6.46546e-06
0.943, 9.44675e-07
0.944, -6.39493e-06
0.945, -8.94036e-07
0.946, 6.46619e-06
0.947, 9.45199e-07
0.948, -6.39418e-06
0.949, -8.93497e-07
0.95, 6.46693e-06
0.951, 9.45735e-07
0.952, -6.3934e-06
0.953, -8.92945e-07
0.954, 6.46768e-06
0.955, 9.46284e-07
0.956, -6.39261e-06
0.957, -8.9238e-07
0.958, 6.46846e-06
0.959, 9.46846e-07
0.96, -6.39179e-06
0.961, -8.918e-07
0.962, 6.46925e-06
0.963, 9.47421e-07
0.964, -6.39096e-06
0.965, -8.91206e-07
0.966, 6.47006e-06
0.967, 9.4801e-07
0.968, -6.3901e-06
0.969, -8.90597e-07
0.97, 6.47089e-06
0.971, 9.48614e-07
0.972, -6.38922e-06
0.973, -8.89973e-07
0.974, 6.47174e-06
0.975, 9.49232e-07
0.976, -6.38831e-06
0.977, -8.89333e-07
0.978, 6.47261e-06
0.979, 9.49865e-07
0.98, -6.38739e-06
0.981, -8.88677e-07
0.982, 6.4735e-06
0.983, 9.50514e-07
0.984, -6.38643e-06
0.985, -8.88004e-07
0.986, 6.47441e-06
0.987, 9.51179e-07
0.988, -6.38545e-06
0.989, -8.87313e-07
0.99, 6.47534e-06
0.991, 9.5186e-07
0.992, -6.38445e-06
0.993, -8.86605e-07
0.994, 6.4763e-06
0.995, 9.52559e-07
0.996, -6.38341e-06
0.997, -8.85878e-07
0.998, 6.47727e-06
0.999, 9.53275e-07
1, -6.38235e-06
1.001, -8.85131e-07
1.002, 6.47827e-06
1.003, 9.5401e-07
1.004, -6.38126e-06
1.005, -8.84365e-07
1.006, 6.47929e-06
1.007, 9.54763e-07
1.008, -6.38013e-06
1.009, -8.83608e-07
1.01, 6.48034e-06
1.011, 9.55644e-07
1.012, -6.37889e-06
1.013, -9.00997e-07
1.014, 6.47823e-06
1.015, 9.92149e-07
1.016, -6.34487e-06
1.017, -9.03844e-07
1.018, 6.44063e-06
1.019, 9.45389e-07
1.02, -6.4126e-06
1.021, -9.41653e-07
1.022, 6.40174e-06
1.023, 9.28434e-07
1.024, -6.42608e-06
1.025, -9.45295e-07
1.026, 6.40177e-06
1.027, 9.30638e-07
1.028, -6.42064e-06
1.029, -9.4157e-07
1.03, 6.4065e-06
1.031, 9.33957e-07
1.032, -6.4151e-06
1.033, -9.3885e-07
1.034, 6.40844e-06
1.035, 9.35589e-07
1.036, -6.41132e-06
1.037, -9.3745e-07
1.038, 6.40799e-06
1.039, 9.29986e-07
1.04, -6.40795e-06
1.041, -9.21104e-07
1.042, 6.42465e-06
1.043, 9.33346e-07
1.044, -6.40662e-06
1.045, -9.23727e-07
1.046, 6.41635e-06
1.047, 9.29507e-07
1.048, -6.40783e-06
1.049, -9.25822e-07
1.05, 6.40979e-06
1.051, 9.27478e-07
1.052, -6.40574e-06
1.053, -9.26216e-07
1.054, 6.40467e-06
1.055, 9.26447e-07
1.056, -6.40186e-06
1.057, -9.25891e-07
1.058, 4.55008e-06
1.059, 9.1601e-08
1.06, -5.40443e-06
1.061, 3.40485e-07
1.062, 3.80422e-07
1.063, 4.20353e-07
1.064, 1.02659e-08
1.065, -3.99822e-07
1.066, -9.32276e-09
1.067, 3.81177e-07
1.068, 1.26488e-08
1.069, -3.55881e-07
