sim_time, unit_box_Custom?world_angular_acceleration/y
0.579, -12.851
0.58, -1.84878
0.581, 12.8435
0.582, 1.85632
0.583, -12.8511
0.584, -1.84871
0.585, 12.8434
0.586, 1.85639
0.587, -12.8511
0.588, -1.84864
0.589, 12.8433
0.59, 1.85647
0.591, -12.8512
0.592, -1.84857
0.593, 12.8432
0.594, 1.85655
0.595, -12.8513
0.596, -1.8485
0.597, 12.8432
0.598, 1.85663
0.599, -12.8514
0.6, -1.84842
0.601, 12.8431
0.602, 1.85671
0.603, -12.8514
0.604, -1.84835
0.605, 12.843
0.606, 1.8568
0.607, -12.8515
0.608, -1.84827
0.609, 12.8429
0.61, 1.85688
0.611, -12.8516
0.612, -1.84819
0.613, 12.8428
0.614, 1.85697
0.615, -12.8517
0.616, -1.84811
0.617, 12.8427
0.618, 1.85706
0.619, -12.8517
0.62, -1.84803
0.621, 12.8427
0.622, 1.85715
0.623, -12.8518
0.624, -1.84795
0.625, 12.8426
0.626, 1.85725
0.627, -12.8519
0.628, -1.84787
0.629, 12.8425
0.63, 1.85734
0.631, -12.852
0.632, -1.84778
0.633, 12.8424
0.634, 1.85744
0.635, -12.8521
0.636, -1.84769
0.637, 12.8423
0.638, 1.85754
0.639, -12.8522
0.64, -1.8476
0.641, 12.8422
0.642, 1.85764
0.643, -12.8523
0.644, -1.84751
0.645, 12.8421
0.646, 1.85774
0.647, -12.8524
0.648, -1.84742
0.649, 12.842
0.65, 1.85784
0.651, -12.8525
0.652, -1.84733
0.653, 12.8419
0.654, 1.85795
0.655, -12.8526
0.656, -1.84723
0.657, 12.8418
0.658, 1.85806
0.659, -12.8527
0.66, -1.84713
0.661, 12.8416
0.662, 1.85817
0.663, -12.8528
0.664, -1.84703
0.665, 12.8415
0.666, 1.85828
0.667, -12.8529
0.668, -1.84693
0.669, 12.8414
0.67, 1.8584
0.671, -12.853
0.672, -1.84683
0.673, 12.8413
0.674, 1.85852
0.675, -12.8531
0.676, -1.84672
0.677, 12.8412
0.678, 1.85864
0.679, -12.8532
0.68, -1.84662
0.681, 12.8411
0.682, 1.85876
0.683, -12.8533
0.684, -1.84651
0.685, 12.8409
0.686, 1.85889
0.687, -12.8534
0.688, -1.8464
0.689, 12.8408
0.69, 1.85901
0.691, -12.8535
0.692, -1.84628
0.693, 12.8407
0.694, 1.85914
0.695, -12.8536
0.696, -1.84617
0.697, 12.8406
0.698, 1.85928
0.699, -12.8538
0.7, -1.84605
0.701, 12.8404
0.702, 1.85941
0.703, -12.8539
0.704, -1.84593
0.705, 12.8403
0.706, 1.85955
0.707, -12.854
0.708, -1.84581
0.709, 12.8401
0.71, 1.85969
0.711, -12.8541
0.712, -1.84568
0.713, 12.84
0.714, 1.85984
0.715, -12.8543
0.716, -1.84556
0.717, 12.8399
0.718, 1.85998
0.719, -12.8544
0.72, -1.84543
0.721, 12.8397
0.722, 1.86013
0.723, -12.8545
0.724, -1.84529
0.725, 12.8395
0.726, 1.86029
0.727, -12.8547
0.728, -1.84516
0.729, 12.8394
0.73, 1.86044
0.731, -12.8548
0.732, -1.84502
0.733, 12.8392
0.734, 1.8606
0.735, -12.855
0.736, -1.84488
0.737, 12.8391
0.738, 1.86077
0.739, -12.8551
0.74, -1.84474
0.741, 12.8389
0.742, 1.86093
0.743, -12.8552
0.744, -1.8446
0.745, 12.8387
0.746, 1.8611
0.747, -12.8554
0.748, -1.84445
0.749, 12.8386
0.75, 1.86128
0.751, -12.8555
0.752, -1.8443
0.753, 12.8384
0.754, 1.86145
0.755, -12.8557
0.756, -1.84415
0.757, 12.8382
0.758, 1.86163
0.759, -12.8559
0.76, -1.84399
0.761, 12.838
0.762, 1.86182
0.763, -12.856
0.764, -1.84383
0.765, 12.8378
0.766, 1.86201
0.767, -12.8562
0.768, -1.84367
0.769, 12.8376
0.77, 1.8622
0.771, -12.8564
0.772, -1.8435
0.773, 12.8375
0.774, 1.86239
0.775, -12.8565
0.776, -1.84333
0.777, 12.8372
0.778, 1.86259
0.779, -12.8567
0.78, -1.84316
0.781, 12.837
0.782, 1.8628
0.783, -12.8569
0.784, -1.84298
0.785, 12.8368
0.786, 1.86301
0.787, -12.8571
0.788, -1.84281
0.789, 12.8366
0.79, 1.86322
0.791, -12.8573
0.792, -1.84262
0.793, 12.8364
0.794, 1.86344
0.795, -12.8574
0.796, -1.84244
0.797, 12.8362
0.798, 1.86366
0.799, -12.8576
0.8, -1.84225
0.801, 12.8359
0.802, 1.86389
0.803, -12.8578
0.804, -1.84205
0.805, 12.8357
0.806, 1.86412
0.807, -12.858
0.808, -1.84186
0.809, 12.8355
0.81, 1.86436
0.811, -12.8582
0.812, -1.84165
0.813, 12.8352
0.814, 1.8646
0.815, -12.8585
0.816, -1.84145
0.817, 12.835
0.818, 1.86484
0.819, -12.8587
0.82, -1.84124
0.821, 12.8347
0.822, 1.8651
0.823, -12.8589
0.824, -1.84102
0.825, 12.8345
0.826, 1.86536
0.827, -12.8591
0.828, -1.84081
0.829, 12.8342
0.83, 1.86562
0.831, -12.8593
0.832, -1.84058
0.833, 12.8339
0.834, 1.86589
0.835, -12.8596
0.836, -1.84036
