sim_time, unit_box_Custom?world_angular_velocity/y
0.925, 0.00548679
0.926, 0.00734384
0.927, -0.00553573
0.928, -0.00735607
0.929, 0.00548583
0.93, 0.00734324
0.931, -0.00553671
0.932, -0.00735666
0.933, 0.00548482
0.934, 0.00734261
0.935, -0.00553774
0.936, -0.00735729
0.937, 0.00548377
0.938, 0.00734193
0.939, -0.00553882
0.94, -0.00735795
0.941, 0.00548266
0.942, 0.00734121
0.943, -0.00553995
0.944, -0.00735865
0.945, 0.00548151
0.946, 0.00734046
0.947, -0.00554112
0.948, -0.0073594
0.949, 0.0054803
0.95, 0.00733965
0.951, -0.00554236
0.952, -0.00736018
0.953, 0.00547903
0.954, 0.0073388
0.955, -0.00554364
0.956, -0.00736101
0.957, 0.00547771
0.958, 0.00733789
0.959, -0.00554499
0.96, -0.00736189
0.961, 0.00547632
0.962, 0.00733694
0.963, -0.0055464
0.964, -0.00736282
0.965, 0.00547486
0.966, 0.00733592
0.967, -0.00554788
0.968, -0.00736381
0.969, 0.00547334
0.97, 0.00733485
0.971, -0.00554942
0.972, -0.00736485
0.973, 0.00547174
0.974, 0.00733372
0.975, -0.00555104
0.976, -0.00736595
0.977, 0.00547007
0.978, 0.00733251
0.979, -0.00555273
0.98, -0.00736711
0.981, 0.00546831
0.982, 0.00733124
0.983, -0.00555451
0.984, -0.00736834
0.985, 0.00546647
0.986, 0.0073299
0.987, -0.00555636
0.988, -0.00736963
0.989, 0.00546455
0.99, 0.00732848
0.991, -0.00555831
0.992, -0.007371
0.993, 0.00546252
0.994, 0.00732697
0.995, -0.00556034
0.996, -0.00737245
0.997, 0.0054604
0.998, 0.00732538
0.999, -0.00556248
1, -0.00737397
1.001, 0.00545818
1.002, 0.0073237
1.003, -0.00556471
1.004, -0.00737558
1.005, 0.00545585
1.006, 0.00732193
1.007, -0.00556705
1.008, -0.00737728
1.009, 0.00545337
1.01, 0.00732008
1.011, -0.0055694
1.012, -0.0073791
1.013, 0.00543332
1.014, 0.00733544
1.015, -0.0055244
1.016, -0.00737424
1.017, 0.00541393
1.018, 0.00731864
1.019, -0.00551277
1.02, -0.00737425
1.021, 0.00546393
1.022, 0.00733769
1.023, -0.00547017
1.024, -0.00735006
1.025, 0.00549428
1.026, 0.00736187
1.027, -0.00544737
1.028, -0.0073262
1.029, 0.00551314
1.03, 0.00738345
1.031, -0.00542817
1.032, -0.00730337
1.033, 0.00553091
1.034, 0.00740327
1.035, -0.00540788
1.036, -0.00728062
1.037, 0.00554913
1.038, 0.00742202
1.039, -0.00539242
1.04, -0.00725105
1.041, 0.00558273
1.042, 0.00744295
1.043, -0.00538511
1.044, -0.00723246
1.045, 0.0055994
1.046, 0.00745789
1.047, -0.00536002
1.048, -0.0072092
1.049, 0.00561915
1.05, 0.00747407
1.051, -0.00533485
1.052, -0.00718444
1.053, 0.00563732
1.054, 0.00748999
1.055, -0.0053101
1.056, -0.00715886
1.057, 0.00565443
1.058, 0.00565443
1.059, -0.0042686
1.06, -0.0053054
1.061, 0.00594349
1.062, 0.000242549
1.063, 0.000242549
1.064, -0.000192428
1.065, -0.000192428
1.066, 0.000613941
1.067, 0.000613941
1.068, -0.000130128
1.069, -0.000130128
1.07, 0.000591511
1.071, 0.000591511
1.072, -6.77138e-05
1.073, 0.000138799
1.074, 0.000138799
1.075, 0.000138799
1.076, -0.000207827
1.077, -0.000364114
1.078, 0.00541013
1.079, -0.00465265
1.08, -0.00742762
1.081, 0.00579822
1.082, 0.00725131
1.083, -0.00520378
1.084, -0.00740147
1.085, 0.00565015
1.086, 0.00731544
1.087, -0.00537445
1.088, -0.00737921
1.089, 0.00552355
1.09, 0.00731796
1.091, -0.00546723
1.092, -0.00738689
1.093, 0.00545808
1.094, 0.00730306
1.095, -0.00551386
1.096, -0.00740256
1.097, 0.00542071
1.098, 0.00728273
1.099, -0.00554238
1.1, -1.45833e-05
1.101, -1.45833e-05
1.102, -1.45833e-05
1.103, -5.61318e-06
1.104, -0.000221917
1.105, 0.000226649
1.106, 0.00545449
1.107, -0.00511344
1.108, -2.79393e-05
1.109, -2.79393e-05
1.11, -2.79393e-05
1.111, 8.2224e-05
1.112, 1.01821e-06
1.113, -0.00534525
1.114, 0.00532531
1.115, 0.00256232
1.116, -0.0025576
1.117, -8.71412e-05
1.118, 1.96932e-06
1.119, 1.96932e-06
1.12, -4.65098e-06
1.121, 6.43195e-07
1.122, 0.00420655
1.123, -0.00419928
1.124, -0.00865409
1.125, 0.00864621
1.126, 0.00951141
1.127, -0.00949366
1.128, -0.00972316
1.129, 0.00970278
1.13, 0.00977542
1.131, -0.00975441
1.132, -0.00978834
1.133, 0.00976717
1.134, 0.00979151
1.135, -0.00977031
1.136, -0.00979231
1.137, 0.0097711
1.138, 0.00979249
1.139, -0.00977128
1.14, -0.00979255
1.141, 0.00977134
1.142, 0.00979256
1.143, -0.00977134
1.144, -0.00979257
1.145, 0.00977136
1.146, 0.00979256
1.147, -0.00977135
1.148, -0.00979257
1.149, 0.00977136
1.15, 0.00979256
1.151, -0.00977135
1.152, -0.00979257
1.153, 0.00977136
1.154, 0.00979256
1.155, -0.00977135
1.156, -0.00979257
1.157, 0.00977136
1.158, 0.00979256
1.159, -0.00977135
1.16, -0.00979257
1.161, 0.00977136
1.162, 0.00979256
1.163, -0.00977135
1.164, -0.00979257
1.165, 0.00977136
1.166, 0.00979256
1.167, -0.00977135
1.168, -0.00979257
1.169, 0.00977136
1.17, 0.00979256
1.171, -0.00977135
1.172, -0.00979257
1.173, 0.00977136
1.174, 0.00979256
1.175, -0.00977135
1.176, -0.00979257
1.177, 0.00977136
1.178, 0.00979256
1.179, -0.00977135
1.18, -0.00979257
1.181, 0.00977136
1.182, 0.00979256
1.183, -0.00977135
1.184, -0.00979257
1.185, 0.00977136
1.186, 0.00979256
1.187, -0.00977135
1.188, -0.00979257
1.189, 0.00977136
1.19, 0.00979256
1.191, -0.00977135
1.192, -0.00979257
1.193, 0.00977136
1.194, 0.00979256
1.195, -0.00977135
1.196, -0.00979257
1.197, 0.00977136
1.198, 0.00979256
1.199, -0.00977135
1.2, -0.00979257
1.201, 0.00977136
1.202, 0.00979256
1.203, -0.00977135
1.204, -0.00979257
1.205, 0.00977136
1.206, 0.00979256
1.207, -0.00977135
1.208, -0.00979257
1.209, 0.00977136
1.21, 0.00979256
1.211, -0.00977135
1.212, -0.00979257
1.213, 0.00977136
1.214, 0.00979256
1.215, -0.00977135
1.216, -0.00979257
1.217, 0.00977136
1.218, 0.00979256
1.219, -0.00977135
1.22, -0.00979257
1.221, 0.00977136
1.222, 0.00979256
1.223, -0.00977135
1.224, -0.00979257
1.225, 0.00977136
1.226, 0.00979256
1.227, -0.00977135
1.228, -0.00979257
1.229, 0.00977136
1.23, 0.00979256
1.231, -0.00977135
1.232, -0.00979257
1.233, 0.00977136
1.234, 0.00979256
1.235, -0.00977135
1.236, -0.00979257
1.237, 0.00977136
1.238, 0.00979256
1.239, -0.00977135
1.24, -0.00979257
1.241, 0.00977136
1.242, 0.00979256
1.243, -0.00977135
1.244, -0.00979257
1.245, 0.00977136
1.246, 0.00979256
1.247, -0.00977135
1.248, -0.00979257
1.249, 0.00977136
1.25, 0.00979256
1.251, -0.00977135
1.252, -0.00979257
1.253, 0.00977136
1.254, 0.00979256
1.255, -0.00977135
1.256, -0.00979257
1.257, 0.00977136
1.258, 0.00979256
1.259, -0.00977135
1.26, -0.00979257
1.261, 0.00977136
1.262, 0.00979256
1.263, -0.00977135
1.264, -0.00979257
1.265, 0.00977136
1.266, 0.00979256
1.267, -0.00977135
1.268, -0.00979257
1.269, 0.00977136
1.27, 0.00979256
1.271, -0.00977135
1.272, -0.00979257
1.273, 0.00977136
1.274, 0.00979256
1.275, -0.00977135
1.276, -0.00979257
1.277, 0.00977136
1.278, 0.00979256
1.279, -0.00977135
1.28, -0.00979257
1.281, 0.00977136
1.282, 0.00979256
1.283, -0.00977135
1.284, -0.00979257
1.285, 0.00977136
1.286, 0.00979256
1.287, -0.00977135
1.288, -0.00979257
1.289, 0.00977136
1.29, 0.00979256
1.291, -0.00977135
1.292, -0.00979257
1.293, 0.00977136
1.294, 0.00979256
1.295, -0.00977135
1.296, -0.00979257
1.297, 0.00977136
1.298, 0.00979256
1.299, -0.00977135
1.3, -0.00979257
1.301, 0.00977136
1.302, 0.00979256
1.303, -0.00977135
1.304, -0.00979257
1.305, 0.00977136
1.306, 0.00979256
1.307, -0.00977135
1.308, -0.00979257
1.309, 0.00977136
1.31, 0.00979256
1.311, -0.00977135
1.312, -0.00979257
1.313, 0.00977136
1.314, 0.00979256
1.315, -0.00977135
1.316, -0.00979257
1.317, 0.00977136
1.318, 0.00979256
1.319, -0.00977135
1.32, -0.00979257
1.321, 0.00977136
1.322, 0.00979256
1.323, -0.00977135
1.324, -0.00979257
1.325, 0.00977136
1.326, 0.00979256
1.327, -0.00977135
1.328, -0.00979257
1.329, 0.00977136
1.33, 0.00979256
1.331, -0.00977135
1.332, -0.00979257
1.333, 0.00977136
1.334, 0.00979256
1.335, -0.00977135
1.336, -0.00979257
1.337, 0.00977136
1.338, 0.00979256
1.339, -0.00977135
1.34, -0.00979257
1.341, 0.00977136
1.342, 0.00979256
1.343, -0.00977135
1.344, -0.00979257
1.345, 0.00977136
1.346, 0.00979256
1.347, -0.00977135
1.348, -0.00979257
1.349, 0.00977136
1.35, 0.00979256
1.351, -0.00977135
1.352, -0.00979257
1.353, 0.00977136
1.354, 0.00979256
1.355, -0.00977135
1.356, -0.00979257
1.357, 0.00977136
1.358, 0.00979256
1.359, -0.00977135
1.36, -0.00979257
1.361, 0.00977136
1.362, 0.00979256
1.363, -0.00977135
1.364, -0.00979257
1.365, 0.00977136
1.366, 0.00979256
1.367, -0.00977135
1.368, -0.00979257
1.369, 0.00977136
1.37, 0.00979256
1.371, -0.00977135
1.372, -0.00979257
1.373, 0.00977136
1.374, 0.00979256
1.375, -0.00977135
1.376, -0.00979257
1.377, 0.00977136
1.378, 0.00979256
1.379, -0.00977135
1.38, -0.00979257
1.381, 0.00977136
1.382, 0.00979256
1.383, -0.00977135
1.384, -0.00979257
1.385, 0.00977136
1.386, 0.00979256
1.387, -0.00977135
1.388, -0.00979257
1.389, 0.00977136
1.39, 0.00979256
1.391, -0.00977135
1.392, -0.00979257
1.393, 0.00977136
1.394, 0.00979256
1.395, -0.00977135
1.396, -0.00979257
1.397, 0.00977136
1.398, 0.00979256
1.399, -0.00977135
1.4, -0.00979257
1.401, 0.00977136
1.402, 0.00979256
1.403, -0.00977135
1.404, -0.00979257
1.405, 0.00977136
1.406, 0.00979256
1.407, -0.00977135
1.408, -0.00979257
1.409, 0.00977136
1.41, 0.00979256
1.411, -0.00977135
1.412, -0.00979257
1.413, 0.00977136
1.414, 0.00979256
1.415, -0.00977135
1.416, -0.00979257
1.417, 0.00977136
1.418, 0.00979256
1.419, -0.00977135
1.42, -0.00979257
1.421, 0.00977136
1.422, 0.00979256
1.423, -0.00977135
1.424, -0.00979257
1.425, 0.00977136
1.426, 0.00979256
1.427, -0.00977135
1.428, -0.00979257
1.429, 0.00977136
1.43, 0.00979256
1.431, -0.00977135
1.432, -0.00979257
1.433, 0.00977136
1.434, 0.00979256
1.435, -0.00977135
1.436, -0.00979257
1.437, 0.00977136
1.438, 0.00979256
1.439, -0.00977135
1.44, -0.00979257
1.441, 0.00977136
1.442, 0.00979256
1.443, -0.00977135
1.444, -0.00979257
1.445, 0.00977136
1.446, 0.00979256
1.447, -0.00977135
1.448, -0.00979257
1.449, 0.00977136
1.45, 0.00979256
1.451, -0.00977135
1.452, -0.00979257
1.453, 0.00977136
1.454, 0.00979256
1.455, -0.00977135
1.456, -0.00979257
1.457, 0.00977136
1.458, 0.00979256
1.459, -0.00977135
1.46, -0.00979257
1.461, 0.00977136
1.462, 0.00979256
1.463, -0.00977135
1.464, -0.00979257
1.465, 0.00977136
1.466, 0.00979256
1.467, -0.00977135
1.468, -0.00979257
1.469, 0.00977136
1.47, 0.00979256
1.471, -0.00977135
1.472, -0.00979257
1.473, 0.00977136
1.474, 0.00979256
1.475, -0.00977135
1.476, -0.00979257
1.477, 0.00977136
1.478, 0.00979256
1.479, -0.00977135
1.48, -0.00979257
1.481, 0.00977136
1.482, 0.00979256
1.483, -0.00977135
1.484, -0.00979257
1.485, 0.00977136
1.486, 0.00979256
1.487, -0.00977135
1.488, -0.00979257
1.489, 0.00977136
1.49, 0.00979256
1.491, -0.00977135
1.492, -0.00979257
1.493, 0.00977136
1.494, 0.00979256
1.495, -0.00977135
1.496, -0.00979257
1.497, 0.00977136
1.498, 0.00979256
1.499, -0.00977135
1.5, -0.00979257
1.501, 0.00977136
1.502, 0.00979256
1.503, -0.00977135
1.504, -0.00979257
1.505, 0.00977136
1.506, 0.00979256
