sim_time, unit_box_Custom?world_linear_acceleration/x
2.619, 9.78197
2.62, 9.78197
2.621, 9.78197
2.622, 9.78197
2.623, 9.78197
2.624, 9.78197
2.625, 9.78197
2.626, 9.78197
2.627, 9.78197
2.628, 9.78197
2.629, 9.78197
2.63, 9.78197
2.631, 9.78197
2.632, 9.78197
2.633, 9.78197
2.634, 9.78197
2.635, 9.78197
2.636, 9.78197
2.637, 9.78197
2.638, 9.78197
2.639, 9.78197
2.64, 9.78197
2.641, 9.78197
2.642, 9.78197
2.643, 9.78197
2.644, 9.78197
2.645, 9.78197
2.646, 9.78197
2.647, 9.78197
2.648, 9.78197
2.649, 9.78197
2.65, 9.78197
2.651, 9.78197
2.652, 9.78197
2.653, 9.78197
2.654, 9.78197
2.655, 9.78197
2.656, 9.78197
2.657, 9.78197
2.658, 9.78197
2.659, 9.78197
2.66, 9.78197
2.661, 9.78197
2.662, 9.78197
2.663, 9.78197
2.664, 9.78197
2.665, 9.78197
2.666, 9.78197
2.667, 9.78197
2.668, 9.78197
2.669, 9.78197
2.67, 9.78197
2.671, 9.78197
2.672, 9.78197
2.673, 9.78197
2.674, 9.78197
2.675, 9.78197
2.676, 9.78197
2.677, 9.78197
2.678, 9.78197
2.679, 9.78197
2.68, 9.78197
2.681, 9.78197
2.682, 9.78197
2.683, 9.78197
2.684, 9.78197
2.685, 9.78197
2.686, 9.78197
2.687, 9.78197
2.688, 9.78197
2.689, 9.78197
2.69, 9.78197
2.691, 9.78197
2.692, 9.78197
2.693, 9.78197
2.694, 9.78197
2.695, 9.78197
2.696, 9.78197
2.697, 9.78197
2.698, 9.78197
2.699, 9.78197
2.7, 9.78197
2.701, 9.78197
2.702, 9.78197
2.703, 9.78197
2.704, 9.78197
2.705, 9.78197
2.706, 9.78197
2.707, 9.78197
2.708, 9.78197
2.709, 9.78197
2.71, 9.78197
2.711, 9.78197
2.712, 9.78197
2.713, 9.78197
2.714, 9.78197
2.715, 9.78197
2.716, 9.78197
2.717, 9.78197
2.718, 9.78197
2.719, 9.78197
2.72, 9.78197
2.721, 9.78197
2.722, 9.78197
2.723, 9.78197
2.724, 9.78197
2.725, 9.78197
2.726, 9.78197
2.727, 9.78197
2.728, 9.78197
2.729, 9.78197
2.73, 9.78197
2.731, 9.78197
2.732, 9.78197
2.733, 9.78197
2.734, 9.78197
2.735, 9.78197
2.736, 9.78197
2.737, 9.78197
2.738, 9.78197
2.739, 9.78197
2.74, 9.78197
2.741, 9.78197
2.742, 9.78197
2.743, 9.78197
2.744, 9.78197
2.745, 9.78197
2.746, 9.78197
2.747, 9.78197
2.748, 9.78197
2.749, 9.78197
2.75, 9.78197
2.751, 9.78197
2.752, 9.78197
2.753, 9.78197
2.754, 9.78197
2.755, 9.78197
2.756, 9.78197
2.757, 9.78197
2.758, 9.78197
2.759, 9.78197
2.76, 9.78197
2.761, 9.78197
2.762, 9.78197
2.763, 9.78197
2.764, 9.78197
2.765, 9.78197
2.766, 9.78197
2.767, 9.78197
2.768, 9.78197
2.769, 9.78197
2.77, 9.78197
2.771, 9.78197
2.772, 9.78197
2.773, 9.78197
2.774, 9.78197
2.775, 9.78197
2.776, 9.78197
2.777, 9.78197
2.778, 9.78197
2.779, 9.78197
2.78, 9.78197
2.781, 9.78197
2.782, 9.78197
2.783, 9.78197
2.784, 9.78197
2.785, 9.78197
2.786, 9.78197
2.787, 9.78197
2.788, 9.78197
2.789, 9.78197
2.79, 9.78197
2.791, 9.78197
2.792, 9.78197
2.793, 9.78197
2.794, 9.78197
2.795, 9.78197
2.796, 9.78197
2.797, 9.78197
2.798, 9.78197
2.799, 9.78197
2.8, 9.78197
2.801, 9.78197
2.802, 9.78197
2.803, 9.78197
2.804, 9.78197
2.805, 9.78197
2.806, 9.78197
2.807, 9.78197
2.808, 9.78197
2.809, 9.78197
2.81, 9.78197
2.811, 9.78197
2.812, 9.78197
2.813, 9.78197
2.814, 9.78197
2.815, 9.78197
2.816, 9.78197
2.817, 9.78197
2.818, 9.78197
2.819, 9.78197
2.82, 9.78197
2.821, 9.78197
2.822, 9.78197
2.823, 9.78197
2.824, 9.78197
2.825, 9.78197
2.826, 9.78197
2.827, 9.78197
2.828, 9.78197
2.829, 9.78197
2.83, 9.78197
2.831, 9.78197
2.832, 9.78197
2.833, 9.78197
2.834, 9.78197
2.835, 9.78197
2.836, 9.78197
2.837, 9.78197
2.838, 9.78197
2.839, 9.78197
2.84, 9.78197
2.841, 9.78197
2.842, 9.78197
2.843, 9.78197
2.844, 9.78197
2.845, 9.78197
2.846, 9.78197
2.847, 9.78197
2.848, 9.78197
2.849, 9.78197
2.85, 9.78197
2.851, 9.78197
2.852, 9.78197
2.853, 9.78197
2.854, 9.78197
2.855, 9.78197
2.856, 9.78197
2.857, 9.78197
2.858, 9.78197
2.859, 9.78197
2.86, 9.78197
2.861, 9.78197
2.862, 9.78197
2.863, 9.78197
2.864, 9.78197
2.865, 9.78197
2.866, 9.78197
2.867, 9.78197
