sim_time, unit_box_Custom?world_linear_velocity/x
1.375, -0.00488568
1.376, -0.00489629
1.377, 0.00488568
1.378, 0.00489628
1.379, -0.00488568
1.38, -0.00489629
1.381, 0.00488568
1.382, 0.00489628
1.383, -0.00488568
1.384, -0.00489629
1.385, 0.00488568
1.386, 0.00489628
1.387, -0.00488568
1.388, -0.00489629
1.389, 0.00488568
1.39, 0.00489628
1.391, -0.00488568
1.392, -0.00489629
1.393, 0.00488568
1.394, 0.00489628
1.395, -0.00488568
1.396, -0.00489629
1.397, 0.00488568
1.398, 0.00489628
1.399, -0.00488568
1.4, -0.00489629
1.401, 0.00488568
1.402, 0.00489628
1.403, -0.00488568
1.404, -0.00489629
1.405, 0.00488568
1.406, 0.00489628
1.407, -0.00488568
1.408, -0.00489629
1.409, 0.00488568
1.41, 0.00489628
1.411, -0.00488568
1.412, -0.00489629
1.413, 0.00488568
1.414, 0.00489628
1.415, -0.00488568
1.416, -0.00489629
1.417, 0.00488568
1.418, 0.00489628
1.419, -0.00488568
1.42, -0.00489629
1.421, 0.00488568
1.422, 0.00489628
1.423, -0.00488568
1.424, -0.00489629
1.425, 0.00488568
1.426, 0.00489628
1.427, -0.00488568
1.428, -0.00489629
1.429, 0.00488568
1.43, 0.00489628
1.431, -0.00488568
1.432, -0.00489629
1.433, 0.00488568
1.434, 0.00489628
1.435, -0.00488568
1.436, -0.00489629
1.437, 0.00488568
1.438, 0.00489628
1.439, -0.00488568
1.44, -0.00489629
1.441, 0.00488568
1.442, 0.00489628
1.443, -0.00488568
1.444, -0.00489629
1.445, 0.00488568
1.446, 0.00489628
1.447, -0.00488568
1.448, -0.00489629
1.449, 0.00488568
1.45, 0.00489628
1.451, -0.00488568
1.452, -0.00489629
1.453, 0.00488568
1.454, 0.00489628
1.455, -0.00488568
1.456, -0.00489629
1.457, 0.00488568
1.458, 0.00489628
1.459, -0.00488568
1.46, -0.00489629
1.461, 0.00488568
1.462, 0.00489628
1.463, -0.00488568
1.464, -0.00489629
1.465, 0.00488568
1.466, 0.00489628
1.467, -0.00488568
1.468, -0.00489629
1.469, 0.00488568
1.47, 0.00489628
1.471, -0.00488568
1.472, -0.00489629
1.473, 0.00488568
1.474, 0.00489628
1.475, -0.00488568
1.476, -0.00489629
1.477, 0.00488568
1.478, 0.00489628
1.479, -0.00488568
1.48, -0.00489629
1.481, 0.00488568
1.482, 0.00489628
1.483, -0.00488568
1.484, -0.00489629
1.485, 0.00488568
1.486, 0.00489628
1.487, -0.00488568
1.488, -0.00489629
1.489, 0.00488568
