sim_time, unit_box_Custom?world_angular_velocity/z
0.954, 0.0100454
0.955, -0.00324484
0.956, -0.00512022
0.957, 0.0081733
0.958, 0.0100999
0.959, -0.00320401
0.96, -0.00508079
0.961, 0.00822645
0.962, 0.0101556
0.963, -0.00316247
0.964, -0.0050407
0.965, 0.0082807
0.966, 0.0102124
0.967, -0.00312021
0.968, -0.00499994
0.969, 0.00833608
0.97, 0.0102705
0.971, -0.00307722
0.972, -0.0049585
0.973, 0.0083926
0.974, 0.0103298
0.975, -0.0030335
0.976, -0.00491638
0.977, 0.0084503
0.978, 0.0103903
0.979, -0.00298901
0.98, -0.00487356
0.981, 0.00850921
0.982, 0.0104522
0.983, -0.00294377
0.984, -0.00483003
0.985, 0.00856934
0.986, 0.0105153
0.987, -0.00289775
0.988, -0.00478579
0.989, 0.00863072
0.99, 0.0105799
0.991, -0.00285094
0.992, -0.00474082
0.993, 0.00869339
0.994, 0.0106458
0.995, -0.00280333
0.996, -0.00469512
0.997, 0.00875738
0.998, 0.0107131
0.999, -0.00275492
1, -0.00464866
1.001, 0.0088227
1.002, 0.0107819
1.003, -0.00270567
1.004, -0.00460146
1.005, 0.0088894
1.006, 0.0108521
1.007, -0.0026556
1.008, -0.00455349
1.009, 0.00895747
1.01, 0.0109239
1.011, -0.00260456
1.012, -0.00450476
1.013, 0.00792243
1.014, 0.00792173
1.015, 0.00360227
1.016, 0.00360278
1.017, 0.00163692
1.018, 0.00163672
1.019, 0.000744461
1.02, 0.000744351
1.021, 0.000338137
1.022, 0.000338344
1.023, 0.000153911
1.024, 0.000153661
1.025, 6.97421e-05
1.026, 6.98871e-05
1.027, 3.19917e-05
1.028, 3.20491e-05
1.029, 1.41165e-05
1.03, 1.37342e-05
1.031, 7.03822e-06
1.032, 7.85851e-06
1.033, 2.31678e-06
1.034, 9.44949e-07
1.035, 2.25663e-06
1.036, 4.29863e-06
1.037, -5.64724e-07
1.038, -3.38772e-06
1.039, 1.66836e-06
1.04, 5.50542e-06
1.041, -1.62844e-06
1.042, -6.47818e-06
1.043, 2.21985e-06
1.044, 8.20272e-06
1.045, -2.59248e-06
1.046, -9.8203e-06
1.047, 3.12286e-06
1.048, 1.17169e-05
1.049, -3.65018e-06
1.05, -1.37235e-05
1.051, 4.23915e-06
1.052, 1.59133e-05
1.053, -4.86785e-06
1.054, -1.82571e-05
1.055, 5.54022e-06
1.056, 2.07669e-05
1.057, -6.26047e-06
1.058, -6.26047e-06
1.059, 2.13931e-05
1.06, 3.78224e-05
1.061, -2.61921e-06
1.062, 2.02122e-05
1.063, 2.02122e-05
1.064, 2.40818e-06
1.065, 2.40818e-06
1.066, -2.17923e-06
1.067, -2.17923e-06
1.068, 3.00126e-06
1.069, 3.00126e-06
1.07, -1.99502e-06
1.071, -1.99502e-06
1.072, 2.82098e-06
1.073, -1.9716e-05
1.074, -1.9716e-05
1.075, -1.9716e-05
1.076, -2.38061e-06
1.077, -3.10564e-06
1.078, -3.10166e-07
1.079, -7.65852e-05
1.08, -7.51902e-05
1.081, -3.37479e-05
1.082, -3.37067e-05
1.083, -1.57139e-05
1.084, -1.54616e-05
1.085, -6.96212e-06
1.086, -7.17519e-06
1.087, -3.38546e-06
1.088, -3.18e-06
1.089, -1.31233e-06
1.09, -1.3081e-06
1.091, -9.65627e-07
1.092, -1.2393e-06
1.093, 9.33011e-08
1.094, 7.90885e-07
1.095, -7.45989e-07
1.096, -1.96035e-06
1.097, 7.51224e-07
1.098, 2.61793e-06
1.099, -1.12794e-06
1.1, -1.23548e-06
1.101, -1.23548e-06
1.102, -1.23548e-06
1.103, 1.5466e-06
1.104, 1.35041e-06
1.105, -1.50391e-06
1.106, -1.42048e-06
1.107, 7.90302e-05
1.108, 6.10153e-06
1.109, 6.10153e-06
1.11, 6.10153e-06
1.111, -1.03023e-10
1.112, -1.98457e-07
1.113, -2.3187e-07
1.114, -1.73649e-09
1.115, 3.53644e-08
1.116, -1.67299e-08
1.117, 1.69104e-05
1.118, -2.18148e-08
1.119, -2.18148e-08
1.12, 1.58376e-06
1.121, -1.17947e-06
1.122, -1.06258e-06
1.123, -3.27972e-09
1.124, 1.62695e-06
1.125, -1.62757e-08
1.126, -7.16138e-08
1.127, 2.0017e-08
1.128, 3.94831e-08
1.129, -2.09691e-08
1.13, -2.88221e-08
1.131, 2.11911e-08
1.132, 2.61431e-08
1.133, -2.12611e-08
1.134, -2.54751e-08
1.135, 2.12634e-08
1.136, 2.53361e-08
1.137, -2.1279e-08
1.138, -3.75735e-08
1.139, 2.12677e-08
1.14, 4.00041e-08
1.141, -2.128e-08
1.142, -3.91917e-08
1.143, 2.1268e-08
1.144, 4.06214e-08
1.145, -2.12801e-08
1.146, -3.9309e-08
1.147, 2.1268e-08
1.148, 4.06567e-08
1.149, -2.12801e-08
1.15, -3.93175e-08
1.151, 2.1268e-08
1.152, 4.06588e-08
1.153, -2.12801e-08
1.154, -3.93181e-08
1.155, 2.1268e-08
1.156, 4.06589e-08
1.157, -2.12801e-08
1.158, -3.93181e-08
1.159, 2.1268e-08
1.16, 4.06589e-08
1.161, -2.12801e-08
1.162, -3.93181e-08
1.163, 2.1268e-08
1.164, 4.06589e-08
1.165, -2.12801e-08
1.166, -3.93181e-08
1.167, 2.1268e-08
1.168, 4.06589e-08
1.169, -2.12801e-08
1.17, -3.93181e-08
1.171, 2.1268e-08
1.172, 4.06589e-08
1.173, -2.12801e-08
1.174, -3.93181e-08
1.175, 2.1268e-08
1.176, 4.06589e-08
1.177, -2.12801e-08
1.178, -3.93181e-08
1.179, 2.1268e-08
1.18, 4.06589e-08
1.181, -2.12801e-08
1.182, -3.93181e-08
1.183, 2.1268e-08
1.184, 4.06589e-08
1.185, -2.12801e-08
1.186, -3.93181e-08
1.187, 2.1268e-08
1.188, 4.06589e-08
1.189, -2.12801e-08
1.19, -3.93181e-08
1.191, 2.1268e-08
1.192, 4.06589e-08
1.193, -2.12801e-08
1.194, -3.93181e-08
1.195, 2.1268e-08
1.196, 4.06589e-08
1.197, -2.12801e-08
1.198, -3.93181e-08
1.199, 2.1268e-08
1.2, 4.06589e-08
1.201, -2.12801e-08
1.202, -3.93181e-08
1.203, 2.1268e-08
1.204, 4.06589e-08
1.205, -2.12801e-08
1.206, -3.93181e-08
1.207, 2.1268e-08
1.208, 4.06589e-08
1.209, -2.12801e-08
1.21, -3.93181e-08
1.211, 2.1268e-08
1.212, 4.06589e-08
1.213, -2.12801e-08
1.214, -3.93181e-08
1.215, 2.1268e-08
1.216, 4.06589e-08
1.217, -2.12801e-08
1.218, -3.93181e-08
1.219, 2.1268e-08
1.22, 4.06589e-08
1.221, -2.12801e-08
1.222, -3.93181e-08
1.223, 2.1268e-08
1.224, 4.06589e-08
1.225, -2.12801e-08
1.226, -3.93181e-08
1.227, 2.1268e-08
