sim_time, unit_box_Custom?world_linear_velocity/x
0.896, -4.70364e-18
0.897, -5.83306e-18
0.898, -5.80784e-18
0.899, -5.07208e-18
0.9, -4.33632e-18
0.901, -6.35391e-18
0.902, -3.39771e-18
0.903, -5.50412e-18
0.904, -5.3901e-18
0.905, -6.16425e-18
0.906, -5.33967e-18
0.907, -5.22564e-18
0.908, -4.22344e-18
0.909, -5.88577e-18
0.91, -5.06119e-18
0.911, -4.23661e-18
0.912, -6.52067e-18
0.913, -3.2092e-18
0.914, -5.67089e-18
0.915, -6.71149e-18
0.916, -4.55463e-18
0.917, -3.81888e-18
0.918, -5.65884e-18
0.919, -5.6336e-18
0.92, -5.60839e-18
0.921, -5.58317e-18
0.922, -5.55794e-18
0.923, -5.53273e-18
0.924, -5.5075e-18
0.925, -6.28166e-18
0.926, -4.1248e-18
0.927, -5.96477e-18
0.928, -7.00537e-18
0.929, -4.31561e-18
0.93, -5.44504e-18
0.931, -5.331e-18
0.932, -4.3288e-18
0.933, -5.99113e-18
0.934, -5.16655e-18
0.935, -4.34197e-18
0.936, -6.27076e-18
0.937, -4.11392e-18
0.938, -5.77625e-18
0.939, -5.30695e-18
0.94, -4.57119e-18
0.941, -3.83543e-18
0.942, -6.83003e-18
0.943, -4.2291e-18
0.944, -5.53615e-18
0.945, -5.68858e-18
0.946, -4.95282e-18
0.947, -4.83879e-18
0.948, -5.61293e-18
0.949, -6.83117e-18
0.95, -3.34207e-18
0.951, -5.53731e-18
0.952, -6.22263e-18
0.953, -5.84215e-18
0.954, -5.46166e-18
0.955, -3.48247e-18
0.956, -4.52306e-18
0.957, -5.20839e-18
0.958, -6.69309e-18
0.959, -5.42442e-18
0.96, -5.66567e-18
0.961, -6.351e-18
0.962, -4.3718e-18
0.963, -6.65585e-18
0.964, -4.23255e-18
0.965, -7.49359e-18
0.966, -4.53739e-18
0.967, -3.97927e-18
0.968, -6.44095e-18
0.969, -3.92885e-18
0.97, -5.50234e-18
0.971, -5.12186e-18
0.972, -4.83019e-18
0.973, -5.51552e-18
0.974, -6.82257e-18
0.975, -4.75456e-18
0.976, -5.17342e-18
0.977, -4.88176e-18
0.978, -5.56709e-18
0.979, -5.27541e-18
0.98, -4.27321e-18
0.981, -6.55727e-18
0.982, -2.44643e-18
0.983, -6.59565e-18
0.984, -4.17234e-18
0.985, -7.43338e-18
0.986, -3.0561e-18
0.987, -3.83025e-18
0.988, -6.55838e-18
0.989, -4.31272e-18
0.99, -6.15266e-18
0.991, -5.15045e-18
0.992, -4.76997e-18
0.993, -5.27765e-18
0.994, -6.05181e-18
0.995, -4.78315e-18
0.996, -4.84675e-18
0.997, -4.02217e-18
0.998, -6.83912e-18
0.999, -5.21518e-18
1, -4.65705e-18
1.001, -5.07592e-18
1.002, -6.56062e-18
1.003, -5.11433e-18
1.004, -5.97729e-18
1.005, -5.24153e-18
1.006, -4.86104e-18
1.007, -4.48055e-18
1.008, -5.87641e-18
1.009, -5.94001e-18
1.01, -6.62534e-18
1.011, -5.5343e-18
1.012, -5.42028e-18
1.013, -5.30625e-18
1.014, -4.57049e-18
1.015, -4.01238e-18
1.016, -6.91815e-18
1.017, -5.82712e-18
1.018, -6.60127e-18
1.019, -2.49042e-18
1.02, -6.72845e-18
1.021, -4.30515e-18
1.022, -7.03328e-18
1.023, -4.43235e-18
1.024, -6.44996e-18
1.025, -4.2043e-18
