sim_time, unit_box_Custom?world_pose/orientation/pitch
0.581, 1.03613e-18
0.582, 1.03878e-18
0.583, 1.03615e-18
0.584, 1.03979e-18
0.585, 1.03886e-18
0.586, 1.03656e-18
0.587, 1.03733e-18
0.588, 1.04011e-18
0.589, 1.03725e-18
0.59, 1.0371e-18
0.591, 1.03683e-18
0.592, 1.03608e-18
0.593, 1.03786e-18
0.594, 1.03916e-18
0.595, 1.03731e-18
0.596, 1.038e-18
0.597, 1.0375e-18
0.598, 1.03776e-18
0.599, 1.03842e-18
0.6, 1.04038e-18
0.601, 1.03795e-18
0.602, 1.03681e-18
0.603, 1.03608e-18
0.604, 1.037e-18
0.605, 1.03867e-18
0.606, 1.03632e-18
0.607, 1.03774e-18
0.608, 1.03815e-18
0.609, 1.03647e-18
0.61, 1.03965e-18
0.611, 1.03701e-18
0.612, 1.03957e-18
0.613, 1.03792e-18
0.614, 1.0365e-18
0.615, 1.03726e-18
0.616, 1.0379e-18
0.617, 1.03769e-18
0.618, 1.03931e-18
0.619, 1.03601e-18
0.62, 1.03862e-18
0.621, 1.03738e-18
0.622, 1.03956e-18
0.623, 1.0377e-18
0.624, 1.03945e-18
0.625, 1.03592e-18
0.626, 1.03972e-18
0.627, 1.03913e-18
0.628, 1.03682e-18
0.629, 1.03598e-18
0.63, 1.03661e-18
0.631, 1.03835e-18
0.632, 1.03713e-18
0.633, 1.03844e-18
0.634, 1.03856e-18
0.635, 1.03926e-18
0.636, 1.03593e-18
0.637, 1.03922e-18
0.638, 1.03901e-18
0.639, 1.03779e-18
0.64, 1.03572e-18
0.641, 1.03602e-18
0.642, 1.03849e-18
0.643, 1.03765e-18
0.644, 1.03809e-18
0.645, 1.03984e-18
0.646, 1.0379e-18
0.647, 1.04063e-18
0.648, 1.03577e-18
0.649, 1.0386e-18
0.65, 1.03686e-18
0.651, 1.0389e-18
0.652, 1.03798e-18
0.653, 1.03746e-18
0.654, 1.03841e-18
0.655, 1.03621e-18
0.656, 1.03886e-18
0.657, 1.03979e-18
0.658, 1.03828e-18
0.659, 1.03824e-18
0.66, 1.03576e-18
0.661, 1.03778e-18
0.662, 1.0402e-18
0.663, 1.04018e-18
0.664, 1.03755e-18
0.665, 1.03781e-18
0.666, 1.04008e-18
0.667, 1.0408e-18
0.668, 1.03642e-18
0.669, 1.03919e-18
0.67, 1.03775e-18
0.671, 1.03956e-18
0.672, 1.03804e-18
0.673, 1.03853e-18
0.674, 1.03854e-18
0.675, 1.03841e-18
0.676, 1.03621e-18
0.677, 1.0353e-18
0.678, 1.03817e-18
0.679, 1.03737e-18
0.68, 1.03874e-18
0.681, 1.03786e-18
0.682, 1.04022e-18
0.683, 1.03961e-18
0.684, 1.03764e-18
0.685, 1.03926e-18
0.686, 1.03774e-18
0.687, 1.04142e-18
0.688, 1.03787e-18
0.689, 1.03828e-18
0.69, 1.03945e-18
0.691, 1.03711e-18
0.692, 1.04069e-18
0.693, 1.03881e-18
0.694, 1.03858e-18
0.695, 1.03965e-18
0.696, 1.03792e-18
0.697, 1.03891e-18
0.698, 1.03693e-18
0.699, 1.03677e-18
0.7, 1.03703e-18
0.701, 1.03804e-18
0.702, 1.03874e-18
0.703, 1.04021e-18
0.704, 1.038e-18
0.705, 1.03726e-18
0.706, 1.03853e-18
0.707, 1.04108e-18
0.708, 1.04103e-18
0.709, 1.03711e-18
0.71, 1.03663e-18
0.711, 1.03796e-18
0.712, 1.03722e-18
0.713, 1.03919e-18
0.714, 1.03607e-18
0.715, 1.03956e-18
0.716, 1.03778e-18
0.717, 1.03959e-18
0.718, 1.03773e-18
0.719, 1.03948e-18
0.72, 1.03612e-18
0.721, 1.03743e-18
0.722, 1.04003e-18
0.723, 1.03824e-18
0.724, 1.04024e-18
0.725, 1.03624e-18
0.726, 1.03905e-18
0.727, 1.03746e-18
0.728, 1.03771e-18
0.729, 1.04013e-18
0.73, 1.03781e-18
0.731, 1.03731e-18
0.732, 1.03794e-18
0.733, 1.04092e-18
0.734, 1.03791e-18
0.735, 1.03797e-18
0.736, 1.03897e-18
0.737, 1.037e-18
0.738, 1.03668e-18
0.739, 1.03961e-18
0.74, 1.03673e-18
0.741, 1.03851e-18
0.742, 1.03644e-18
0.743, 1.04011e-18
0.744, 1.03511e-18
0.745, 1.03941e-18
0.746, 1.03825e-18
0.747, 1.03839e-18
0.748, 1.03946e-18
0.749, 1.03774e-18
0.75, 1.0398e-18
0.751, 1.03694e-18
0.752, 1.03804e-18
0.753, 1.03919e-18
0.754, 1.04003e-18
0.755, 1.03772e-18
0.756, 1.03654e-18
0.757, 1.03895e-18
0.758, 1.03698e-18
0.759, 1.03967e-18
0.76, 1.0362e-18
0.761, 1.03952e-18
0.762, 1.03668e-18
0.763, 1.03834e-18
0.764, 1.0388e-18
0.765, 1.03788e-18
0.766, 1.03702e-18
0.767, 1.0387e-18
0.768, 1.04007e-18
0.769, 1.03829e-18
0.77, 1.03639e-18
0.771, 1.03667e-18
0.772, 1.03842e-18
0.773, 1.03951e-18
0.774, 1.03568e-18
0.775, 1.03953e-18
0.776, 1.03864e-18
0.777, 1.03958e-18
0.778, 1.03986e-18
0.779, 1.0393e-18
0.78, 1.03896e-18
0.781, 1.03992e-18
0.782, 1.0404e-18
0.783, 1.03773e-18
0.784, 1.03991e-18
0.785, 1.03965e-18
0.786, 1.03625e-18
0.787, 1.04018e-18
0.788, 1.04042e-18
0.789, 1.04037e-18
0.79, 1.03734e-18
0.791, 1.04005e-18
0.792, 1.03748e-18
0.793, 1.0378e-18
0.794, 1.03942e-18
0.795, 1.03647e-18
0.796, 1.03925e-18
0.797, 1.03782e-18
0.798, 1.03751e-18
