sim_time, unit_box_Custom?world_pose/orientation/roll
0.595, 7.42726e-19
0.596, 7.46035e-19
0.597, 7.43171e-19
0.598, 7.41683e-19
0.599, 7.47789e-19
0.6, 7.45057e-19
0.601, 7.44146e-19
0.602, 7.44167e-19
0.603, 7.44676e-19
0.604, 7.45229e-19
0.605, 7.45382e-19
0.606, 7.47355e-19
0.607, 7.46708e-19
0.608, 7.49213e-19
0.609, 7.41549e-19
0.61, 7.45474e-19
0.611, 7.43227e-19
0.612, 7.46352e-19
0.613, 7.45525e-19
0.614, 7.44742e-19
0.615, 7.43559e-19
0.616, 7.41532e-19
0.617, 7.44878e-19
0.618, 7.45159e-19
0.619, 7.45928e-19
0.62, 7.44077e-19
0.621, 7.45379e-19
0.622, 7.42283e-19
0.623, 7.4989e-19
0.624, 7.46439e-19
0.625, 7.45252e-19
0.626, 7.45886e-19
0.627, 7.47451e-19
0.628, 7.424e-19
0.629, 7.44054e-19
0.63, 7.46196e-19
0.631, 7.44385e-19
0.632, 7.47947e-19
0.633, 7.46669e-19
0.634, 7.48987e-19
0.635, 7.42467e-19
0.636, 7.43985e-19
0.637, 7.47323e-19
0.638, 7.44045e-19
0.639, 7.43918e-19
0.64, 7.46501e-19
0.641, 7.43798e-19
0.642, 7.48689e-19
0.643, 7.47407e-19
0.644, 7.44392e-19
0.645, 7.44086e-19
0.646, 7.43824e-19
0.647, 7.4405e-19
0.648, 7.45208e-19
0.649, 7.41081e-19
0.65, 7.42772e-19
0.651, 7.46283e-19
0.652, 7.45397e-19
0.653, 7.44999e-19
0.654, 7.45089e-19
0.655, 7.46555e-19
0.656, 7.47178e-19
0.657, 7.44736e-19
0.658, 7.4367e-19
0.659, 7.4398e-19
0.66, 7.43002e-19
0.661, 7.42957e-19
0.662, 7.4784e-19
0.663, 7.46106e-19
0.664, 7.4264e-19
0.665, 7.43215e-19
0.666, 7.48274e-19
0.667, 7.45384e-19
0.668, 7.45203e-19
0.669, 7.47286e-19
0.67, 7.45416e-19
0.671, 7.48475e-19
0.672, 7.47138e-19
0.673, 7.45844e-19
0.674, 7.49035e-19
0.675, 7.46942e-19
0.676, 7.46224e-19
0.677, 7.44663e-19
0.678, 7.45809e-19
0.679, 7.44336e-19
0.68, 7.45127e-19
0.681, 7.45074e-19
0.682, 7.48173e-19
0.683, 7.47764e-19
0.684, 7.46067e-19
