sim_time, unit_box_Custom?world_pose/orientation/roll
0.721, 1.10387e-08
0.722, -9.78113e-06
0.723, -1.10388e-08
0.724, 9.78113e-06
0.725, 1.10387e-08
0.726, -9.78113e-06
0.727, -1.10388e-08
0.728, 9.78113e-06
0.729, 1.10387e-08
0.73, -9.78113e-06
0.731, -1.10388e-08
0.732, 9.78113e-06
0.733, 1.10387e-08
0.734, -9.78113e-06
0.735, -1.10388e-08
0.736, 9.78113e-06
0.737, 1.10387e-08
0.738, -9.78113e-06
0.739, -1.10388e-08
0.74, 9.78113e-06
0.741, 1.10387e-08
0.742, -9.78113e-06
0.743, -1.10388e-08
0.744, 9.78113e-06
0.745, 1.10387e-08
0.746, -9.78113e-06
0.747, -1.10388e-08
0.748, 9.78113e-06
0.749, 1.10387e-08
0.75, -9.78113e-06
0.751, -1.10388e-08
0.752, 9.78113e-06
0.753, 1.10387e-08
0.754, -9.78113e-06
0.755, -1.10388e-08
0.756, 9.78113e-06
0.757, 1.10387e-08
0.758, -9.78113e-06
0.759, -1.10388e-08
0.76, 9.78113e-06
0.761, 1.10387e-08
0.762, -9.78113e-06
0.763, -1.10388e-08
0.764, 9.78113e-06
0.765, 1.10387e-08
0.766, -9.78113e-06
0.767, -1.10388e-08
0.768, 9.78113e-06
0.769, 1.10387e-08
0.77, -9.78113e-06
0.771, -1.10388e-08
0.772, 9.78113e-06
0.773, 1.10387e-08
0.774, -9.78113e-06
0.775, -1.10388e-08
0.776, 9.78113e-06
0.777, 1.10387e-08
0.778, -9.78113e-06
0.779, -1.10388e-08
0.78, 9.78113e-06
0.781, 1.10387e-08
0.782, -9.78113e-06
0.783, -1.10388e-08
0.784, 9.78113e-06
0.785, 1.10387e-08
0.786, -9.78113e-06
0.787, -1.10388e-08
0.788, 9.78113e-06
0.789, 1.10387e-08
0.79, -9.78113e-06
0.791, -1.10388e-08
0.792, 9.78113e-06
0.793, 1.10387e-08
0.794, -9.78113e-06
0.795, -1.10388e-08
0.796, 9.78113e-06
0.797, 1.10387e-08
0.798, -9.78113e-06
0.799, -1.10388e-08
0.8, 9.78113e-06
0.801, 1.10387e-08
0.802, -9.78113e-06
0.803, -1.10388e-08
0.804, 9.78113e-06
0.805, 1.10387e-08
0.806, -9.78113e-06
0.807, -1.10388e-08
0.808, 9.78113e-06
0.809, 1.10387e-08
0.81, -9.78113e-06
0.811, -1.10388e-08
0.812, 9.78113e-06
0.813, 1.10387e-08
0.814, -9.78113e-06
0.815, -1.10388e-08
0.816, 9.78113e-06
0.817, 1.10387e-08
0.818, -9.78113e-06
0.819, -1.10388e-08
0.82, 9.78113e-06
0.821, 1.10387e-08
0.822, -9.78113e-06
0.823, -1.10388e-08
0.824, 9.78113e-06
0.825, 1.10387e-08
0.826, -9.78113e-06
0.827, -1.10388e-08
0.828, 9.78113e-06
0.829, 1.10387e-08
0.83, -9.78113e-06
0.831, -1.10388e-08
0.832, 9.78113e-06
0.833, 1.10387e-08
0.834, -9.78113e-06
0.835, -1.10388e-08
0.836, 9.78113e-06
0.837, 1.10387e-08
0.838, -9.78113e-06
0.839, -1.10388e-08
0.84, 9.78113e-06
0.841, 1.10387e-08
0.842, -9.78113e-06
0.843, -1.10388e-08
0.844, 9.78113e-06
0.845, 1.10387e-08
0.846, -9.78113e-06
0.847, -1.10388e-08
0.848, 9.78113e-06
0.849, 1.10387e-08
0.85, -9.78113e-06
0.851, -1.10388e-08
0.852, 9.78113e-06
0.853, 1.10387e-08
0.854, -9.78113e-06
0.855, -1.10388e-08
0.856, 9.78113e-06
0.857, 1.10387e-08
0.858, -9.78113e-06
0.859, -1.10388e-08
0.86, 9.78113e-06
0.861, 1.10387e-08
0.862, -9.78113e-06
0.863, -1.10388e-08
0.864, 9.78113e-06
0.865, 1.10387e-08
0.866, -9.78113e-06
0.867, -1.10388e-08
0.868, 9.78113e-06
0.869, 1.10387e-08
0.87, -9.78113e-06
0.871, -1.10388e-08
0.872, 9.78113e-06
0.873, 1.10387e-08
0.874, -9.78113e-06
0.875, -1.10388e-08
0.876, 9.78113e-06
0.877, 1.10387e-08
0.878, -9.78113e-06
0.879, -1.10388e-08
0.88, 9.78113e-06
0.881, 1.10387e-08
0.882, -9.78113e-06
0.883, -1.10388e-08
0.884, 9.78113e-06
0.885, 1.10387e-08
0.886, -9.78113e-06
0.887, -1.10388e-08
0.888, 9.78113e-06
0.889, 1.10387e-08
0.89, -9.78113e-06
0.891, -1.10388e-08
0.892, 9.78113e-06
0.893, 1.10387e-08
0.894, -9.78113e-06
0.895, -1.10388e-08
0.896, 9.78113e-06
0.897, 1.10387e-08
0.898, -9.78113e-06
0.899, -1.10388e-08
0.9, 9.78113e-06
0.901, 1.10387e-08
0.902, -9.78113e-06
0.903, -1.10388e-08
0.904, 9.78113e-06
0.905, 1.10387e-08
0.906, -9.78113e-06
0.907, -1.10388e-08
0.908, 9.78113e-06
0.909, 1.10387e-08
0.91, -9.78113e-06
0.911, -1.10388e-08
0.912, 9.78113e-06
0.913, 1.10387e-08
0.914, -9.78113e-06
0.915, -1.10388e-08
0.916, 9.78113e-06
0.917, 1.10387e-08
0.918, -9.78113e-06
0.919, -1.10388e-08
0.92, 9.78113e-06
0.921, 1.10387e-08
0.922, -9.78113e-06
0.923, -1.10388e-08
0.924, 9.78113e-06
0.925, 1.10387e-08
0.926, -9.78113e-06
0.927, -1.10388e-08
0.928, 9.78113e-06
0.929, 1.10387e-08
0.93, -9.78113e-06
0.931, -1.10388e-08
