Time,X Velocity,Y Velocity,Z Velocity,X Position,Y Position,Z Position,Roll,Yaw,Pitch,X Angular Velocity,Y Angular Velocity,Z Angular Velocity
0.103,0.00478531,-0.00150454,-0.00615655,5.04E-08,0.0505191,0.499995,3.90E-06,-6.39E-06,6.42E-06,0.00516403,0.00741623,0.00215463
0.104,-0.00305248,0.00189459,0.00508486,-3.16E-06,0.0505211,0.5,7.04E-09,-6.39E-06,2.84E-09,-0.00378919,-0.0061054,-1.87E-07
0.105,-0.0014514,0.00349564,-0.00204646,-4.61E-06,0.0505246,0.499998,-6.98E-06,-6.39E-06,-2.90E-06,-0.00699203,-0.00290254,-1.69E-07
0.106,0.0014306,-0.00348975,0.00204643,-3.18E-06,0.0505211,0.5,-6.34E-09,-6.39E-06,-2.81E-08,0.00697863,0.00287156,-7.58E-06
0.107,0.00410925,-0.000813391,-0.00329264,9.28E-07,0.0505203,0.499997,1.62E-06,-6.39E-06,8.19E-06,0.00162499,0.00821848,-7.93E-07
0.108,-0.00409083,0.000806679,0.00329286,-3.16E-06,0.0505211,0.5,5.25E-09,-6.39E-06,8.68E-09,-0.00161339,-0.00818166,1.58E-08
0.109,-0.0049987,4.14E-05,-0.00499379,-8.16E-06,0.0505211,0.499995,-5.27E-08,-6.40E-06,-9.99E-06,-5.80E-05,-0.00999809,-9.99E-06
0.11,0.00498183,-1.57E-05,0.00499384,-3.17E-06,0.0505211,0.5,-6.67E-09,-6.40E-06,-1.11E-08,3.14E-05,0.00996365,2.21E-08
0.111,0.00498183,-1.57E-05,-0.00480616,1.81E-06,0.0505211,0.499995,2.47E-08,-6.40E-06,9.95E-06,3.14E-05,0.00996365,2.21E-08
0.112,-0.00603206,6.67E-06,0.0037505,-4.22E-06,0.0505211,0.499999,8.53E-09,-6.40E-06,-2.11E-06,-1.62E-05,-0.0120638,1.83E-06
0.113,-0.000709726,3.67E-07,0.00282093,-4.93E-06,0.0505211,0.500002,5.81E-09,-6.40E-06,-3.53E-06,-2.71E-06,-0.00141961,-1.25E-06
0.114,0.00138638,0.0020964,-0.00348569,-3.55E-06,0.0505232,0.499998,-4.19E-06,-6.40E-06,-7.59E-07,-0.00419464,0.00277222,-1.10E-06
0.115,0.000379273,-0.0020944,0.00172024,-3.17E-06,0.0505211,0.5,-5.87E-11,-6.40E-06,-3.01E-11,0.0041888,0.000758546,-2.93E-09
0.116,3.54E-06,-0.00433884,-0.00433898,-3.16E-06,0.0505168,0.499996,8.68E-06,-6.40E-06,5.31E-09,0.00867783,5.29E-06,1.32E-06
0.117,-8.43E-07,0.00433479,0.00433915,-3.16E-06,0.0505211,0.5,8.18E-09,-6.40E-06,3.54E-09,-0.00866958,-1.71E-06,-1.60E-08
0.118,-1.57E-06,0.00475854,-0.00475461,-3.17E-06,0.0505259,0.499995,-9.51E-06,-6.40E-06,2.60E-10,-0.00951707,-3.22E-06,-6.43E-08
0.119,2.11E-06,-0.00474926,0.00475466,-3.16E-06,0.0505211,0.5,-1.04E-08,-6.40E-06,4.49E-09,0.00949852,4.18E-06,1.97E-08
0.12,-2.18E-06,-0.00486215,-0.00485719,-3.17E-06,0.0505162,0.499995,9.71E-06,-6.40E-06,1.41E-10,0.0097243,-4.42E-06,3.50E-08
0.121,2.34E-06,0.00485153,0.0048572,-3.16E-06,0.0505211,0.5,1.09E-08,-6.40E-06,4.72E-09,-0.00970306,4.65E-06,-2.07E-08
0.122,-2.26E-06,0.00488771,-0.0048825,-3.17E-06,0.050526,0.499995,-9.76E-06,-6.40E-06,1.02E-10,-0.00977542,-4.56E-06,-2.53E-08
0.123,2.33E-06,-0.00487677,0.0048825,-3.16E-06,0.0505211,0.5,-1.10E-08,-6.40E-06,4.78E-09,0.00975353,4.62E-06,2.09E-08
0.124,-2.36E-06,-0.00489402,-0.00488875,-3.17E-06,0.0505162,0.499995,9.78E-06,-6.40E-06,9.26E-11,0.00978803,-4.75E-06,2.29E-08
0.125,2.40E-06,0.00488299,0.00488875,-3.16E-06,0.0505211,0.5,1.10E-08,-6.40E-06,4.79E-09,-0.00976599,4.77E-06,-2.10E-08
0.126,-2.30E-06,0.00489557,-0.00489029,-3.17E-06,0.050526,0.499995,-9.78E-06,-6.40E-06,9.03E-11,-0.00979114,-4.64E-06,-2.23E-08
0.127,2.34E-06,-0.00488453,0.00489029,-3.16E-06,0.0505211,0.5,-1.10E-08,-6.40E-06,4.79E-09,0.00976906,4.65E-06,2.10E-08
0.128,-2.37E-06,-0.00489596,-0.00489067,-3.17E-06,0.0505162,0.499995,9.78E-06,-6.40E-06,8.97E-11,0.00979191,-4.77E-06,2.22E-08
0.129,2.40E-06,0.00488491,0.00489067,-3.16E-06,0.0505211,0.5,1.10E-08,-6.40E-06,4.79E-09,-0.00976982,4.77E-06,-2.10E-08
0.13,-2.31E-06,0.00489605,-0.00489076,-3.17E-06,0.050526,0.499995,-9.78E-06,-6.40E-06,8.95E-11,-0.0097921,-4.64E-06,-2.21E-08
0.131,2.34E-06,-0.004885,0.00489076,-3.16E-06,0.0505211,0.5,-1.10E-08,-6.40E-06,4.79E-09,0.00977001,4.65E-06,2.10E-08
0.132,-2.37E-06,-0.00489608,-0.00489078,-3.17E-06,0.0505162,0.499995,9.78E-06,-6.40E-06,8.95E-11,0.00979215,-4.77E-06,2.21E-08
0.133,2.40E-06,0.00488503,0.00489079,-3.16E-06,0.0505211,0.5,1.10E-08,-6.40E-06,4.79E-09,-0.00977005,4.77E-06,-2.10E-08
0.134,-2.31E-06,0.00489608,-0.00489079,-3.17E-06,0.050526,0.499995,-9.78E-06,-6.40E-06,8.95E-11,-0.00979216,-4.64E-06,-2.21E-08
0.135,2.34E-06,-0.00488503,0.00489079,-3.16E-06,0.0505211,0.5,-1.10E-08,-6.40E-06,4.79E-09,0.00977006,4.65E-06,2.10E-08
0.136,-2.37E-06,-0.00489608,-0.00489079,-3.17E-06,0.0505162,0.499995,9.78E-06,-6.40E-06,8.95E-11,0.00979216,-4.77E-06,2.21E-08
0.137,2.40E-06,0.00488503,0.00489079,-3.16E-06,0.0505211,0.5,1.10E-08,-6.40E-06,4.79E-09,-0.00977007,4.77E-06,-2.10E-08
0.138,-2.31E-06,0.00489608,-0.00489079,-3.17E-06,0.050526,0.499995,-9.78E-06,-6.40E-06,8.95E-11,-0.00979216,-4.64E-06,-2.21E-08
0.139,2.34E-06,-0.00488503,0.00489079,-3.16E-06,0.0505211,0.5,-1.10E-08,-6.40E-06,4.79E-09,0.00977007,4.65E-06,2.10E-08
0.14,-2.37E-06,-0.00489608,-0.00489079,-3.17E-06,0.0505162,0.499995,9.78E-06,-6.40E-06,8.95E-11,0.00979216,-4.77E-06,2.21E-08
0.141,2.40E-06,0.00488503,0.00489079,-3.16E-06,0.0505211,0.5,1.10E-08,-6.40E-06,4.79E-09,-0.00977007,4.77E-06,-2.10E-08
0.142,-2.31E-06,0.00489608,-0.00489079,-3.17E-06,0.050526,0.499995,-9.78E-06,-6.40E-06,8.95E-11,-0.00979216,-4.64E-06,-2.21E-08
0.143,2.34E-06,-0.00488503,0.00489079,-3.16E-06,0.0505211,0.5,-1.10E-08,-6.40E-06,4.79E-09,0.00977007,4.65E-06,2.10E-08
0.144,-2.37E-06,-0.00489608,-0.00489079,-3.17E-06,0.0505162,0.499995,9.78E-06,-6.40E-06,8.95E-11,0.00979216,-4.77E-06,2.21E-08
0.145,2.40E-06,0.00488503,0.00489079,-3.16E-06,0.0505211,0.5,1.10E-08,-6.40E-06,4.79E-09,-0.00977007,4.77E-06,-2.10E-08
0.146,-2.31E-06,0.00489608,-0.00489079,-3.17E-06,0.050526,0.499995,-9.78E-06,-6.40E-06,8.95E-11,-0.00979216,-4.64E-06,-2.21E-08
0.147,2.34E-06,-0.00488503,0.00489079,-3.16E-06,0.0505211,0.5,-1.10E-08,-6.40E-06,4.79E-09,0.00977007,4.65E-06,2.10E-08
0.148,-2.37E-06,-0.00489608,-0.00489079,-3.17E-06,0.0505162,0.499995,9.78E-06,-6.40E-06,8.95E-11,0.00979216,-4.77E-06,2.21E-08
0.149,2.40E-06,0.00488503,0.00489079,-3.16E-06,0.0505211,0.5,1.10E-08,-6.40E-06,4.79E-09,-0.00977007,4.77E-06,-2.10E-08
0.15,-2.31E-06,0.00489608,-0.00489079,-3.17E-06,0.050526,0.499995,-9.78E-06,-6.40E-06,8.95E-11,-0.00979216,-4.64E-06,-2.21E-08
