sim_time, unit_box_Custom?world_linear_acceleration/y
0.755, -9.78112
0.756, -0.0110495
0.757, 9.78112
0.758, 0.0110496
0.759, -9.78112
0.76, -0.0110495
0.761, 9.78112
0.762, 0.0110496
0.763, -9.78112
0.764, -0.0110495
0.765, 9.78112
0.766, 0.0110496
0.767, -9.78112
0.768, -0.0110495
0.769, 9.78112
0.77, 0.0110496
0.771, -9.78112
0.772, -0.0110495
0.773, 9.78112
0.774, 0.0110496
0.775, -9.78112
0.776, -0.0110495
0.777, 9.78112
0.778, 0.0110496
0.779, -9.78112
0.78, -0.0110495
0.781, 9.78112
0.782, 0.0110496
0.783, -9.78112
0.784, -0.0110495
0.785, 9.78112
0.786, 0.0110496
0.787, -9.78112
0.788, -0.0110495
0.789, 9.78112
0.79, 0.0110496
0.791, -9.78112
0.792, -0.0110495
0.793, 9.78112
0.794, 0.0110496
0.795, -9.78112
0.796, -0.0110495
0.797, 9.78112
0.798, 0.0110496
0.799, -9.78112
0.8, -0.0110495
0.801, 9.78112
0.802, 0.0110496
0.803, -9.78112
0.804, -0.0110495
0.805, 9.78112
0.806, 0.0110496
0.807, -9.78112
0.808, -0.0110495
0.809, 9.78112
0.81, 0.0110496
0.811, -9.78112
0.812, -0.0110495
0.813, 9.78112
0.814, 0.0110496
0.815, -9.78112
0.816, -0.0110495
0.817, 9.78112
0.818, 0.0110496
0.819, -9.78112
0.82, -0.0110495
0.821, 9.78112
0.822, 0.0110496
0.823, -9.78112
0.824, -0.0110495
0.825, 9.78112
0.826, 0.0110496
0.827, -9.78112
0.828, -0.0110495
0.829, 9.78112
0.83, 0.0110496
0.831, -9.78112
0.832, -0.0110495
0.833, 9.78112
0.834, 0.0110496
0.835, -9.78112
0.836, -0.0110495
0.837, 9.78112
0.838, 0.0110496
0.839, -9.78112
0.84, -0.0110495
0.841, 9.78112
0.842, 0.0110496
0.843, -9.78112
0.844, -0.0110495
0.845, 9.78112
0.846, 0.0110496
0.847, -9.78112
0.848, -0.0110495
0.849, 9.78112
0.85, 0.0110496
0.851, -9.78112
0.852, -0.0110495
0.853, 9.78112
0.854, 0.0110496
0.855, -9.78112
0.856, -0.0110495
0.857, 9.78112
0.858, 0.0110496
0.859, -9.78112
0.86, -0.0110495
0.861, 9.78112
0.862, 0.0110496
0.863, -9.78112
0.864, -0.0110495
0.865, 9.78112
0.866, 0.0110496
0.867, -9.78112
0.868, -0.0110495
0.869, 9.78112
0.87, 0.0110496
0.871, -9.78112
0.872, -0.0110495
0.873, 9.78112
0.874, 0.0110496
0.875, -9.78112
0.876, -0.0110495
0.877, 9.78112
0.878, 0.0110496
0.879, -9.78112
0.88, -0.0110495
0.881, 9.78112
0.882, 0.0110496
0.883, -9.78112
0.884, -0.0110495
0.885, 9.78112
0.886, 0.0110496
0.887, -9.78112
0.888, -0.0110495
0.889, 9.78112
0.89, 0.0110496
0.891, -9.78112
0.892, -0.0110495
0.893, 9.78112
0.894, 0.0110496
0.895, -9.78112
0.896, -0.0110495
0.897, 9.78112
0.898, 0.0110496
0.899, -9.78112
0.9, -0.0110495
0.901, 9.78112
0.902, 0.0110496
0.903, -9.78112
0.904, -0.0110495
0.905, 9.78112
0.906, 0.0110496
0.907, -9.78112
0.908, -0.0110495
0.909, 9.78112
0.91, 0.0110496
0.911, -9.78112
0.912, -0.0110495
0.913, 9.78112
0.914, 0.0110496
0.915, -9.78112
0.916, -0.0110495
0.917, 9.78112
0.918, 0.0110496
0.919, -9.78112
0.92, -0.0110495
0.921, 9.78112
0.922, 0.0110496
0.923, -9.78112
0.924, -0.0110495
0.925, 9.78112
0.926, 0.0110496
0.927, -9.78112
0.928, -0.0110495
0.929, 9.78112
0.93, 0.0110496
0.931, -9.78112
0.932, -0.0110495
0.933, 9.78112
0.934, 0.0110496
0.935, -9.78112
0.936, -0.0110495
0.937, 9.78112
0.938, 0.0110496
0.939, -9.78112
0.94, -0.0110495
0.941, 9.78112
0.942, 0.0110496
0.943, -9.78112
0.944, -0.0110495
0.945, 9.78112
0.946, 0.0110496
0.947, -9.78112
0.948, -0.0110495
0.949, 9.78112
0.95, 0.0110496
0.951, -9.78112
0.952, -0.0110495
0.953, 9.78112
0.954, 0.0110496
0.955, -9.78112
0.956, -0.0110495
0.957, 9.78112
0.958, 0.0110496
0.959, -9.78112
0.96, -0.0110495
0.961, 9.78112
0.962, 0.0110496
0.963, -9.78112
0.964, -0.0110495
0.965, 9.78112
0.966, 0.0110496
0.967, -9.78112
0.968, -0.0110495
0.969, 9.78112
0.97, 0.0110496
0.971, -9.78112
0.972, -0.0110495
0.973, 9.78112
0.974, 0.0110496
0.975, -9.78112
0.976, -0.0110495
0.977, 9.78112
0.978, 0.0110496
0.979, -9.78112
0.98, -0.0110495
0.981, 9.78112
0.982, 0.0110496
0.983, -9.78112
0.984, -0.0110495
0.985, 9.78112
0.986, 0.0110496
0.987, -9.78112
0.988, -0.0110495
0.989, 9.78112
0.99, 0.0110496
0.991, -9.78112
0.992, -0.0110495
0.993, 9.78112
0.994, 0.0110496
0.995, -9.78112
0.996, -0.0110495
0.997, 9.78112
0.998, 0.0110496
0.999, -9.78112
1, -0.0110495
1.001, 9.78112
1.002, 0.0110496
1.003, -9.78112
1.004, -0.0110495
1.005, 9.78112
1.006, 0.0110496
1.007, -9.78112
1.008, -0.0110495
1.009, 9.78112
1.01, 0.0110496
1.011, -9.78112
1.012, -0.0110495
1.013, 9.78112
1.014, 0.0110496
1.015, -9.78112
1.016, -0.0110495
1.017, 9.78112
1.018, 0.0110496
1.019, -9.78112
1.02, -0.0110495
1.021, 9.78112
1.022, 0.0110496
1.023, -9.78112
1.024, -0.0110495
1.025, 9.78112
1.026, 0.0110496
1.027, -9.78112
1.028, -0.0110495
1.029, 9.78112
1.03, 0.0110496
1.031, -9.78112
1.032, -0.0110495
1.033, 9.78112
1.034, 0.0110496
1.035, -9.78112
1.036, -0.0110495
1.037, 9.78112
1.038, 0.0110496
1.039, -9.78112
1.04, -0.0110495
1.041, 9.78112
1.042, 0.0110496
1.043, -9.78112
1.044, -0.0110495
1.045, 9.78112
1.046, 0.0110496
1.047, -9.78112
1.048, -0.0110495
1.049, 9.78112
1.05, 0.0110496
1.051, -9.78112
1.052, -0.0110495
1.053, 9.78112
1.054, 0.0110496
1.055, -9.78112
1.056, -0.0110495
1.057, 9.78112
1.058, 0.0110496
1.059, -9.78112
1.06, -0.0110495
1.061, 9.78112
1.062, 0.0110496
1.063, -9.78112
1.064, -0.0110495
1.065, 9.78112
1.066, 0.0110496
1.067, -9.78112
1.068, -0.0110495
1.069, 9.78112
1.07, 0.0110496
1.071, -9.78112
1.072, -0.0110495
1.073, 9.78112
1.074, 0.0110496
1.075, -9.78112
1.076, -0.0110495
1.077, 9.78112
1.078, 0.0110496
1.079, -9.78112
1.08, -0.0110495
1.081, 9.78112
1.082, 0.0110496
1.083, -9.78112
1.084, -0.0110495
1.085, 9.78112
1.086, 0.0110496
1.087, -9.78112
1.088, -0.0110495
1.089, 9.78112
1.09, 0.0110496
1.091, -9.78112
1.092, -9.78112
1.093, -9.78112
1.094, -9.78112
1.095, -9.78112
1.096, -9.78112
1.097, -9.78112
1.098, -9.78112
1.099, -9.78112
1.1, -9.78112
1.101, -9.78112
1.102, -9.78112
1.103, -9.78112
1.104, -9.78112
1.105, -9.78112
1.106, -9.78112
1.107, -9.78112
1.108, -9.78112
1.109, -9.78112
1.11, -9.78112
1.111, -9.78112
1.112, -9.78112
1.113, -9.78112
1.114, -9.78112
1.115, -9.78112
1.116, -9.78112
1.117, -9.78112
1.118, -9.78112
1.119, -9.78112
1.12, -9.78112
1.121, -9.78112
1.122, -9.78112
1.123, -9.78112
1.124, -9.78112
1.125, -9.78112
1.126, -9.78112
1.127, -9.78112
1.128, -9.78112
1.129, -9.78112
1.13, -9.78112
1.131, -9.78112
1.132, -9.78112
1.133, -9.78112
1.134, -9.78112
1.135, -9.78112
1.136, -9.78112
1.137, -9.78112
1.138, -9.78112
1.139, -9.78112
1.14, -9.78112
1.141, -9.78112
1.142, -9.78112
1.143, -9.78112
1.144, -9.78112
1.145, -9.78112
1.146, -9.78112
1.147, -9.78112
1.148, -9.78112
1.149, -9.78112
1.15, -9.78112
1.151, -9.78112
1.152, -9.78112
1.153, -9.78112
1.154, -9.78112
1.155, -9.78112
1.156, -9.78112
1.157, -9.78112
1.158, -9.78112
1.159, -9.78112
1.16, -9.78112
1.161, -9.78112
1.162, -9.78112
1.163, -9.78112
1.164, -9.78112
1.165, -9.78112
1.166, -9.78112
1.167, -9.78112
1.168, -9.78112
1.169, -9.78112
1.17, -9.78112
1.171, -9.78112
1.172, -9.78112
1.173, -9.78112
1.174, -9.78112
1.175, -9.78112
1.176, -9.78112
